pkt_len_mean,fwd_pkt_len_mean,bwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_max,pkt_len_min,fwd_pkt_len_min,pkt_len_var,pkt_len_std,fwd_byts_b_avg,flow_byts_s,flow_pkts_s,init_bwd_win_byts,init_fwd_win_byts,fwd_psh_flags,psh_flag_cnt,Label
235.66875,311.8698,72.71453,707.6496,177.61508,86.42717,145.35963,6676.115,276.19507,40860.78,83829.375,12.019757,9463.037,230.51826,64.73583,6.197969,5
721.0271,116.43857,456.04227,83.72463,20.351326,77.40214,95.76411,43270.855,49.19511,884.56494,100.29501,4.412025,16215.565,30972.494,0.43236315,0.60656685,5
213.8317,331.43604,20.695711,1166.346,39.297157,94.698166,113.39784,6857.718,88.00858,168.15219,30082.82,6.5633483,0.36661452,23756.762,0.3083887,8.796082,5
432.68793,108.51746,449.91614,367.54492,8.26154,107.84758,86.57195,89574.81,225.28384,74756.86,9985.735,9.2938595,27888.879,542.0219,175.33519,0.91111034,5
666.62805,258.89853,25.76551,1156.5092,291.53104,114.89953,92.13455,470.03146,33.237118,80979.664,1212.3611,1036.0587,0.8605782,2836.813,0.7315903,19.884718,5
112.53498,418.42737,383.919,930.35175,372.30942,117.156425,114.86527,8551.614,64.3292,237.3135,488.14078,10.319183,13872.819,112.44385,17.323988,1.3332255,5
251.85518,378.6892,15.250224,586.97766,104.62559,130.99529,112.693115,26390.684,26.932745,5769.5103,16146.505,652.14966,37930.68,622.30664,13.510844,6.825869,5
451.02762,630.57666,3.454747,141.80725,113.51256,80.3987,113.75668,2051.14,316.13013,10334.083,73531.125,665.84827,726.99304,60.987316,6.2353077,3.176537,5
305.97437,177.9199,2.5272353,358.00012,650.0899,130.9781,163.81319,151310.86,17.65933,3820.9575,28.613916,3.2253664,0.5701758,53.617783,5.6834126,1.4254864,5
370.77744,522.8079,4.5677934,6075.0933,16.669374,81.297226,82.822296,1573.2979,207.26025,20940.791,13452.342,166.13535,13741.832,102.43597,9.762651,3.6860962,5
220.10512,367.1104,7.530601,298.0119,34.262463,104.764694,112.344734,149.23093,38.593998,9.486884,166936.92,1276.9338,7261.214,0.08193841,0.020990063,1.1469097,5
555.997,241.5452,43.75111,1155.9794,189.1907,117.02708,134.44627,597006.25,158.34834,512.28754,1903.3192,90.17529,277.819,129.35533,14.620178,3.5292132,5
359.04346,147.65334,102.82713,267.9638,24.18489,103.27536,90.61122,59.439514,97.26004,14.239726,56.131184,55.13503,273.2885,87.268005,8.791523,3.014988,5
691.61707,1086.7971,4.5967503,101.07167,213.79514,87.07112,93.831,3684.8042,148.88911,1387.4037,3631.2168,114.39743,524.60614,431.0888,5.934316,2.9283233,5
255.5515,289.90298,343.12347,671.3919,723.7573,81.60862,93.692276,428.66052,14.239144,23.564781,32997.1,179.68134,179.52306,58.339962,8.9744005,0.77737445,5
118.0363,112.515816,12.098898,3076.4175,291.01733,127.19626,113.89833,7079.8315,107.39164,2821.7651,30.422684,21.874092,2.7977567,350.67673,19.171387,0.75473106,5
666.9497,600.2336,1.9749377,77.10333,340.09985,161.58002,108.726814,13117.893,97.97948,947.443,4789.7236,142.32497,5395.227,660.5506,1.3029557,5.53666,5
106.6528,151.97899,26.372036,249.54613,261.7537,107.3255,103.71444,907.5575,146.1393,4727.164,140.64911,101.50415,19.35651,9300.942,1.5914587,6.3007703,5
119.96506,194.10132,307.5337,219.76904,263.42145,92.96685,103.293465,144.03262,192.67786,32.322495,31.920744,2.852588,24239.207,30944.414,0.4187655,16.71547,5
329.20135,432.6596,24.063072,1563.6453,25.454441,94.89134,94.49769,202.29655,22.094149,60121.758,34.400925,10.378803,153.61342,6.721024,1.5506513,0.88712394,5
106.49542,683.9573,136.30576,3294.2456,311.038,103.017624,124.62737,16698.355,160.62263,11.305804,25.333336,40.319016,436.26846,246.20435,62.361755,1.6793036,5
127.70954,349.41913,333.0841,6494.1777,713.7568,120.43995,114.383125,1176.3513,34.63362,460.83255,43089.7,5.4653873,4.2650604,4.363572,1.0714513,0.9317003,5
319.4798,403.04755,28.413086,1543.6787,88.98464,135.99413,133.15686,1486.7452,183.92761,5730.712,275.6967,70.53852,136.79077,37.48489,5.0064297,0.80131865,5
139.24713,183.57277,438.28265,1744.8958,12.740671,113.6637,123.04435,10315.098,3.0208645,641.202,73.0005,7.4604,3706.146,299.59457,22.718418,0.64505816,5
218.28741,159.92537,228.5162,387.13632,35.750854,113.79209,111.68018,3528.855,37.19738,701.97894,408.4424,125.74484,212.94894,345.0337,29.475782,1.0085967,5
654.59845,431.46994,7.619865,2960.7173,66.85424,120.38049,109.580765,518.443,133.62408,41.622936,183.0452,215.98236,51.168022,1.4961572,0.48753527,0.6732876,5
501.05585,250.42097,85.582214,346.31085,290.46338,128.3718,136.38191,461.13922,142.66531,67.027534,1562.5116,18.507769,118.04782,2209.6074,4.762987,0.8908815,5
353.1032,202.32274,3.6730611,514.73773,95.28456,127.48965,118.787506,7473.4707,44.76269,1644.637,200.18886,22.687817,14242.52,296.93008,95.23976,3.9008346,5
248.70622,340.6538,17.778522,2005.5052,238.22102,106.88661,96.54257,187.2284,8.906371,15.24568,55460.945,507.51364,26.467554,0.06789688,0.013221546,0.55919385,5
312.26422,292.91483,15.196626,436.74536,96.17067,147.79659,137.10573,8097.302,10.835666,11.822835,7226.378,151.35214,4922.0015,34.86892,6.0494924,0.8305659,5
593.5946,327.753,61.30558,919.7997,25.878803,94.4401,100.89986,19246.77,85.74027,553.62177,3557.7446,87.84122,790.1874,2662.6626,2.6343951,8.1275,5
242.14375,170.92445,117.624985,1289.1555,18.54874,118.897964,124.043884,166.67648,182.96008,26847.074,343.8793,391.56348,197.67188,8511.944,1.45375,7.2284,5
106.41262,336.54718,31.2055,997.6077,133.60867,113.78197,125.66153,1072.0579,45.257694,1054.6904,869.8873,148.38965,256.35538,255.51138,37.346462,5.8035245,5
125.00028,171.56403,26.922071,152.17812,27.933264,110.30711,120.9035,183.63351,32.900238,116098.61,1699.9407,2488.7705,0.48406458,24102.969,0.47582018,2.115034,5
