src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,61418,53,17,2024-05-20 12:08:20,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,239.255.255.250,1900,1900,17,2024-05-20 12:08:20,42.076487,26.998451653057444,0.19012994121871438,0.19012994121871438,0.0,8,0,1136,0,142,142,142.0,0.0,0,0,0,0.0,142,142,142.0,0.0,0.0,160,0,20,8,6.010926714285715,12.005424,0.0,3.999501523993163,42.076487,12.005424,0.0,6.010926714285715,3.999501523993163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0,0,8,0,1136,0
10.0.2.15,239.255.255.250,61419,1900,17,2024-05-20 12:08:20,42.07703,26.998103240651727,0.19012748761022344,0.19012748761022344,0.0,8,0,1136,0,142,142,142.0,0.0,0,0,0,0.0,142,142,142.0,0.0,0.0,160,0,20,8,6.011004285714286,12.005571,0.0,3.999469192550064,42.07703,12.005571,0.0,6.011004285714286,3.999469192550064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0,0,8,0,1136,0
10.0.2.15,10.0.2.2,61420,5351,17,2024-05-20 12:08:20,20.426229,94.87801199134701,0.9301765881504609,0.9301765881504609,0.0,19,0,1938,0,102,102,102.0,0.0,0,0,0,0.0,102,102,102.0,0.0,0.0,380,0,20,19,1.1347905,2.264175,0.0,0.6564304212759127,20.426229,2.264175,0.0,1.1347905,0.6564304212759127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,102.0,0,0,0,0,0,0,0,0,0,0,240.0,4.0,0,0,155.9244468092985543854725193,0,102.0,0,0,19,0,1938,0
10.0.2.15,192.168.10.1,50339,53,17,2024-05-20 12:08:21,0.0,0,0,0,0,2,0,150,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,2,0,150,0
10.0.2.15,192.168.10.2,61418,53,17,2024-05-20 12:08:21,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.2,50339,53,17,2024-05-20 12:08:22,0.0,0,0,0,0,2,0,150,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,2,0,150,0
10.0.2.15,1.1.1.1,61418,53,17,2024-05-20 12:08:22,0.006895,36258.15808556925,435.09789702683105,290.065264684554,145.032632342277,2,1,156,94,78,78,78.0,0.0,94,94,94.0,0.0,94,78,83.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0034475,0.006895,0.0,0.0034475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,83.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,94.0,0,2,1,156,94
10.0.2.15,1.1.1.1,55555,53,17,2024-05-20 12:08:22,40.513398,52.92076463198668,0.5677134265558272,0.2961983095073881,0.2715151170484391,12,11,947,1197,86,75,78.91666666666667,3.3281209246193093,166,91,108.81818181818181,21.603106602431815,166,75,93.21739130434783,21.262247665837275,452.08317580340264,240,220,20,12,1.8415180909090907,40.364185,0.0,8.406337420524842,40.502965,40.375132,0.0,3.6820877272727275,11.603360839668863,40.502968,40.371423,0.008,4.0502968,12.107042817638483,0,0,0,0,0,0,0,0,0,0,0,0.9166666666666666,93.21739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.91666666666667,108.81818181818181,0,12,11,947,1197
10.0.2.15,34.229.89.117,5778,6881,17,2024-05-20 12:08:22,0.0,0,0,0,0,2,0,306,0,153,153,153.0,0.0,0,0,0,0.0,153,153,153.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,2,0,306,0
10.0.2.15,67.215.246.10,5778,6881,17,2024-05-20 12:08:22,0.190245,4383.820862571947,15.76913979342427,10.512759862282845,5.2563799311414225,2,1,306,528,153,153,153.0,0.0,528,528,528.0,0.0,528,153,278.0,176.7766952966369,31250.0,40,20,20,2,0.0951225,0.190245,0.0,0.0951225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,278.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,528.0,0,2,1,306,528
10.0.2.15,82.221.103.244,5778,6881,17,2024-05-20 12:08:22,0.0,0,0,0,0,2,0,306,0,153,153,153.0,0.0,0,0,0,0.0,153,153,153.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,2,0,306,0
10.0.2.15,87.98.162.88,5778,6881,17,2024-05-20 12:08:22,0.401916,1550.0751400790216,7.464246260412623,4.9761641736084155,2.4880820868042077,2,1,306,317,153,153,153.0,0.0,317,317,317.0,0.0,317,153,207.66666666666666,77.31034140972919,5976.888888888888,40,20,20,2,0.200958,0.401916,0.0,0.200958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,207.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,317.0,0,2,1,306,317
10.0.2.15,185.157.221.247,5778,25401,17,2024-05-20 12:08:22,0.550991,914.7154853709044,5.444735031969669,3.629823354646446,1.814911677323223,2,1,306,198,153,153,153.0,0.0,198,198,198.0,0.0,198,153,168.0,21.213203435596427,450.0,40,20,20,2,0.2754955,0.550991,0.0,0.2754955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,198.0,0,2,1,306,198
10.0.2.15,52.212.171.135,5778,46571,17,2024-05-20 12:08:22,0.0,0,0,0,0,2,0,292,0,146,146,146.0,0.0,0,0,0,0.0,146,146,146.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0,0,0,2,0,292,0
