src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,162.159.133.234,49760,443,6,2024-05-21 04:39:33,120.071587,227.50594609863865,0.6579408332464199,0.29149277422309744,0.3664480590233225,35,44,4787,22530,933,54,136.77142857142857,195.4267251374775,1514,60,512.0454545454545,575.7817197888235,1514,54,345.7848101265823,486.1251250836786,236317.63723762214,700,880,20,11,1.5393793205128208,29.408475,0.0,4.788522637942338,118.346788,29.452506,0.0,3.4807878823529412,6.790720391511301,119.881939,29.773574,0.0,2.787952069767442,6.238206793168226,11,26,0,0,0,3,0,37,77,0,0,1.2571428571428571,345.7848101265823,64240,65535,0,0,0,0,0,0,0,0,0,0,14596.0,12.0,0,709404.6172539489671931956258,136.77142857142857,512.0454545454545,0,35,44,4787,22530
10.0.2.15,162.159.135.232,49761,443,6,2024-05-21 04:39:52,91.892773,47.446603880372614,0.18499822613906752,0.09794023736774163,0.0870579887713259,9,8,1178,3182,656,54,130.88888888888889,186.66157400460477,1314,60,397.75,473.0057478509114,1314,54,256.47058823529414,376.13156610061463,141474.95501730105,180,160,20,4,5.7432983124999994,45.004242,0.0,14.83758772697872,91.89180599999999,45.006035,0.0,11.48647575,19.34868074553486,91.699324,45.211746,0.0,13.099903428571427,20.24705538735906,2,3,0,0,0,3,0,5,15,0,0,0.8888888888888888,256.47058823529414,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.88888888888889,397.75,0,9,8,1178,3182
10.0.2.15,162.159.129.235,49762,443,6,2024-05-21 04:40:03,91.149681,73.72488774809865,0.30718703228374433,0.142622550703167,0.16456448158057732,13,15,1945,4775,659,54,149.6153846153846,178.30032506184546,1314,60,318.3333333333333,433.879809266217,1314,54,240.0,350.2704057479837,122689.35714285714,260,300,20,7,3.3759141111111117,45.479597,0.0,11.842872638858358,91.148523,45.479597,0.0,7.59571025,16.83809994193534,90.95565500000001,45.482083,0.0,6.496832500000001,15.820264371677629,5,7,0,0,0,3,0,12,26,0,0,1.1538461538461537,240.0,64240,65535,0,0,0,0,0,0,0,0,0,0,2815.0,4.0,0,13438.35779926005489915264351,149.6153846153846,318.3333333333333,0,13,15,1945,4775
10.0.2.15,162.159.129.232,49763,443,6,2024-05-21 04:40:05,90.853764,47.07565005231924,0.18711387675693877,0.09906028769484994,0.08805358906208884,9,8,1093,3184,571,54,121.44444444444444,160.11670126720497,1314,60,398.0,473.3170184981732,1314,54,251.58823529411765,371.55445469374763,138052.71280276816,180,160,20,4,5.678360250000001,45.088627,0.0,14.857833431476083,90.85152699999999,45.095015,0.0,11.356440875,19.419385252929043,90.6484,45.120656,0.000847,12.94977142857143,20.33738346901324,2,3,0,0,0,3,0,5,15,0,0,0.8888888888888888,251.58823529411765,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.44444444444444,398.0,0,9,8,1093,3184
10.0.2.15,74.125.200.94,49764,443,6,2024-05-21 04:40:09,90.786573,130.72417658060513,0.3965344082323715,0.1762375147699429,0.22029689346242862,16,20,3454,8414,1352,54,215.875,336.71777407051144,1314,60,420.7,504.9609984939431,1352,54,329.6666666666667,449.8978896495416,202408.1111111111,320,400,20,9,2.5939020857142854,45.026849,0.0,10.444739105874007,90.785937,45.028201,0.0,6.0523958,15.284890043047453,90.766634,45.027485,0.0,4.777191263157895,13.803701909630206,7,10,0,0,0,3,0,17,34,0,0,1.25,329.6666666666667,64240,65535,0,0,0,0,0,0,0,0,0,0,3142.5,5.0,0,28991.18963051801282346971724,215.875,420.7,0,16,20,3454,8414
10.0.2.15,162.159.137.232,49759,443,6,2024-05-21 04:40:10,90.076809,4.440654641751353,0.07771145623064867,0.04440654641751353,0.03330490981313514,4,3,220,180,55,55,55.0,0.0,60,60,60.0,0.0,60,55,57.142857142857146,2.4743582965269675,6.122448979591837,80,60,20,4,15.012801499999997,45.057683,0.0,21.229831109281925,90.075957,45.059235,0.0,30.025319,21.231113766162668,90.075027,45.058535,45.016492,45.0375135,0.021021499999999804,0,0,0,0,0,0,0,0,7,0,0,0.75,57.142857142857146,63712,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,60.0,0,4,3,220,180
10.0.2.15,162.159.137.232,56852,443,17,2024-05-21 04:39:29,55.209056,62754.75892940463,60.60599913173665,8.368192348733512,52.23780678300314,462,2884,145195,3319436,1292,86,314.2748917748918,436.2000367418138,1242,65,1150.9833564493758,279.945650065644,1292,65,1035.4545726240287,420.8768596877634,177137.33102063325,9240,57680,20,462,0.01650493153961136,5.498339,-3e-05,0.15090845566396902,55.209056,5.498339,0.0,0.1197593405639913,0.4122851119628032,54.80415,5.730459,0.0,0.01900941727367326,0.1817610375901094,0,0,0,0,0,0,0,0,0,0,0,6.242424242424242,1035.4545726240287,0,0,0,0,0,0,0,0,0,0,2790.516129032258,6.387096774193548,18862.722891566264,16.77710843373494,24826.80557999000682761548041,630767.6532982926108487511102,314.2748917748918,1150.9833564493758,0,462,2884,145195,3319436
10.0.2.15,192.168.10.2,49192,53,17,2024-05-21 04:39:31,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.2,63790,53,17,2024-05-21 04:39:31,6.881016,34.0066060012068,0.4359821282206,0.29065475214706665,0.14532737607353333,2,1,156,78,78,78,78.0,0.0,78,78,78.0,0.0,78,78,78.0,0.0,0.0,40,20,20,2,3.440508,6.881016,0.0,3.440508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,78.0,0,2,1,156,78
192.168.10.2,10.0.2.15,53,50179,17,2024-05-21 04:39:32,0.0,0,0,0,0,2,0,142,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,2,0,142,0
