src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,59043,53,17,2024-05-27 13:07:43,0.0,0,0,0,0,2,0,136,0,68,68,68.0,0.0,0,0,0,0.0,68,68,68.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0,0,2,0,136,0
10.0.2.15,192.168.10.2,59043,53,17,2024-05-27 13:07:44,0.0,0,0,0,0,2,0,136,0,68,68,68.0,0.0,0,0,0,0.0,68,68,68.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0,0,2,0,136,0
10.0.2.15,192.168.200.1,59043,53,17,2024-05-27 13:07:46,0.004243,48079.1892528871,707.0469007777516,471.36460051850105,235.68230025925052,2,1,136,68,68,68,68.0,0.0,68,68,68.0,0.0,68,68,68.0,0.0,0.0,40,20,20,2,0.0021215,0.004243,0.0,0.0021215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,0,2,1,136,68
10.0.2.15,192.168.200.1,59727,53,17,2024-05-27 13:07:46,8.019809,42.39502461966363,0.6234562444068181,0.3740737466440909,0.24938249776272725,3,2,204,136,68,68,68.0,0.0,68,68,68.0,0.0,68,68,68.0,0.0,0.0,60,40,20,3,2.00495225,8.0107,0.0,3.467420677799737,8.014082,8.014082,0.0,4.007041,4.007041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,0,3,2,204,136
10.0.2.15,192.168.200.1,49288,53,17,2024-05-27 13:07:47,0.016107,19680.884087663748,186.25442354255915,124.16961569503943,62.08480784751971,2,1,158,159,79,79,79.0,0.0,159,159,159.0,0.0,159,79,105.66666666666667,37.71236166328253,1422.222222222222,40,20,20,2,0.0080535,0.016107,0.0,0.0080535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,105.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,159.0,0,2,1,158,159
10.0.2.15,162.159.136.232,49731,443,6,2024-05-27 13:07:47,25.713992,429.18267999772263,0.9722333272873384,0.42778266400642884,0.5444506632809094,11,14,1462,9574,342,54,132.9090909090909,111.58238256630638,1514,60,683.8571428571429,615.2245649404146,1514,54,441.44,540.5850223600354,292232.1664,220,280,20,4,1.0714163333333333,19.325396,0.0,3.9766675494040933,25.713992,19.325396,0.0,2.5713992,5.860443439456656,25.703644,19.32691,0.0,1.9772033846153847,5.235390239825218,4,6,0,0,0,3,0,10,23,0,0,1.2727272727272727,441.44,64240,65535,0,0,0,0,0,0,0,0,0,0,3044.0,4.0,0,8989.746255256816141378821528,132.9090909090909,683.8571428571429,0,11,14,1462,9574
10.0.2.15,192.168.10.1,50451,53,17,2024-05-27 13:07:49,0.0,0,0,0,0,2,0,136,0,68,68,68.0,0.0,0,0,0,0.0,68,68,68.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0,0,2,0,136,0
10.0.2.15,192.168.10.1,53549,53,17,2024-05-27 13:07:49,0.0,0,0,0,0,2,0,142,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,2,0,142,0
10.0.2.15,192.168.10.1,63022,53,17,2024-05-27 13:07:49,0.0,0,0,0,0,2,0,142,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,2,0,142,0
10.0.2.15,192.168.10.2,50451,53,17,2024-05-27 13:07:50,0.0,0,0,0,0,2,0,136,0,68,68,68.0,0.0,0,0,0,0.0,68,68,68.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0,0,2,0,136,0
