src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,23.50.87.250,49702,443,6,2024-05-21 04:56:51,135.277678,68.40005045030415,0.17002065928423163,0.08131422835332817,0.08870643093090347,11,12,1525,7728,571,54,138.63636363636363,162.726917216473,1514,60,644.0,567.7634483949573,1514,54,402.30434782608694,494.54743780750294,244577.168241966,220,240,20,3,6.148985363636364,135.085798,0.0,28.13632347251749,135.277678,135.085798,0.0,13.527767800000001,40.51934806339427,0.153558,0.04235,0.0,0.01395981818181818,0.01764331327788201,3,7,0,0,1,3,0,10,21,0,0,1.0909090909090908,402.30434782608694,64240,65535,0,0,0,0,0,0,0,0,0,0,6220.0,7.0,0,73646.07260413459944587842478,138.63636363636363,644.0,0,11,12,1525,7728
10.0.2.15,54.243.122.21,49718,443,6,2024-05-21 04:57:01,114.190399,91.50506602573479,0.23644719903290642,0.11384494768251051,0.12260225135039593,13,14,3993,6456,1445,54,307.15384615384613,480.90137260930624,1514,60,461.14285714285717,546.218148092978,1514,54,387.0,521.5099161018826,271972.5925925926,260,280,20,6,4.391938423076923,45.085448,0.0,12.40197892566703,114.188136,45.08584,0.0,9.515678,16.867246816817335,113.94268,45.087711,0.0,8.764821538461538,16.417542503540727,4,5,0,0,0,3,0,9,25,0,0,1.0769230769230769,387.0,64240,65535,0,0,0,0,0,0,0,0,0,0,3538.0,5.0,0,14243.09886031054625383955781,307.15384615384613,461.14285714285717,0,13,14,3993,6456
10.0.2.15,18.210.41.96,49720,443,6,2024-05-21 04:57:04,110.157359,361.6644440431801,0.5991429042884008,0.2178701470139639,0.3812727572744368,24,42,8205,31635,2128,54,341.875,577.9119967968019,1514,60,753.2142857142857,630.6409262735464,2128,54,603.6363636363636,643.1863775403235,413688.7162534436,480,840,20,9,1.6947286,45.028252,0.0,7.861932281583156,110.15571200000001,45.029108,0.0,4.789378782608695,12.643753034898973,109.919012,45.073771,0.0,2.6809515121951217,9.771886403227755,7,18,0,0,0,3,0,25,64,0,0,1.75,603.6363636363636,64240,65535,0,0,0,0,0,0,0,0,0,0,9194.666666666666,10.333333333333334,0,21107.59793943808978687325340,341.875,753.2142857142857,0,24,42,8205,31635
10.0.2.15,172.64.154.86,49722,443,6,2024-05-21 04:57:15,90.686118,73.3519103772862,0.2977302435638496,0.1433515987529646,0.15437864481088495,13,14,1875,4777,571,54,144.23076923076923,168.1044335873268,1314,60,341.2142857142857,464.27780762498355,1314,54,246.37037037037038,367.5081403127815,135062.2331961591,260,280,20,7,3.4879276153846157,45.012206,0.0,11.986727624711467,90.684986,45.012206,0.0,7.557082166666667,16.750077975120124,90.492886,45.012909,0.000532,6.96099123076923,16.224949781754848,5,6,0,0,0,3,0,11,25,0,0,1.0769230769230769,246.37037037037038,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.23076923076923,341.2142857142857,0,13,14,1875,4777
10.0.2.15,125.252.219.142,49747,443,6,2024-05-21 04:57:28,93.423582,157.85093746459006,0.47097316392771155,0.2033747753324209,0.26759838859529067,19,25,3156,11591,730,54,166.10526315789474,212.12431676206492,1514,60,463.64,521.1905509504178,1514,54,335.15909090909093,442.1439473119903,195491.27014462807,380,500,20,9,2.172641441860465,45.15307,0.0,9.491370322456078,93.422909,45.15307,0.0,5.190161611111112,14.126158688934412,93.377977,45.15385,0.0,3.8907490416666666,12.439448483744723,7,14,0,0,0,3,0,21,42,0,0,1.3157894736842106,335.15909090909093,64240,65535,0,0,0,0,0,0,0,0,0,0,3775.5,6.0,0,47456.83885037677625335453420,166.10526315789474,463.64,0,19,25,3156,11591
10.0.2.15,54.175.122.26,49751,9000,6,2024-05-21 04:57:28,92.034385,167.13318614559114,0.6301992456406375,0.29336861434995193,0.3368306312906855,27,31,7220,8162,4548,54,267.4074074074074,849.5653467883732,1514,60,263.2903225806452,406.8727464967781,4548,54,265.2068965517241,651.5195436934388,424477.71581450664,540,620,20,12,1.6146383333333334,29.127549,0.0,5.225826156425763,92.034385,29.322666,0.0,3.539784038461539,7.33058427195368,91.628584,29.226256,0.0,3.0542861333333335,6.918917049338265,12,13,0,0,0,3,0,25,56,0,0,1.1481481481481481,265.2068965517241,64240,65535,0,0,0,0,0,0,0,0,0,0,2243.0,5.0,0,9027.119592230157340722451288,267.4074074074074,263.2903225806452,0,27,31,7220,8162
10.0.2.15,23.50.87.250,49709,443,6,2024-05-21 04:56:53,133.855072,75.8506932034671,0.18676916478742023,0.08964919909796171,0.09711996568945852,12,13,1617,8536,571,54,134.75,162.48955094610443,1514,60,656.6153846153846,563.8123717448424,1514,54,406.12,495.93365040093823,245950.18560000003,240,260,20,3,5.577294666666666,133.577071,0.0,26.68980635782466,133.85507199999998,133.577071,0.0,12.168642909090908,38.39272373896828,0.181821,0.055891,0.0,0.01515175,0.02262415626465438,3,8,0,0,1,3,0,11,23,0,0,1.0833333333333333,406.12,64240,65535,0,0,0,0,0,0,0,0,0,0,3911.0,5.5,0,46087.13071964742343361497036,134.75,656.6153846153846,0,12,13,1617,8536
10.0.2.15,23.50.87.250,49706,443,6,2024-05-21 04:56:51,136.213079,116.95646348321662,0.264291801230042,0.12480446169196426,0.1394873395380777,17,19,6103,9828,1158,54,359.0,390.4104928676693,1514,60,517.2631578947369,516.0488391926998,1514,54,442.52777777777777,467.7278699623384,218769.36033950615,340,380,20,7,3.891802257142858,134.397555,0.0,22.38198213008142,136.21307900000002,134.397555,0.0,8.513317437500001,32.503752364331724,1.737122,0.77134,0.0,0.09650677777777779,0.19200402453234486,7,10,0,0,1,3,0,17,34,0,0,1.1176470588235294,442.52777777777777,64240,65535,0,0,0,0,0,0,0,0,0,0,3768.0,5.5,0,21522.20476938454947879480223,359.0,517.2631578947369,0,17,19,6103,9828
10.0.2.15,162.247.243.29,49759,443,6,2024-05-21 04:57:37,102.760926,420.7727750526499,0.9050132537731317,0.398984337684929,0.5060289160882027,41,52,31476,11763,3974,54,767.7073170731708,881.7521427056316,1514,60,226.21153846153845,327.9117104753411,3974,54,464.93548387096774,689.3214180214085,475164.0173430454,820,1040,20,23,1.1169665869565217,15.927839,0.0,3.176811131957185,102.75716,15.927839,0.0,2.568929,4.415122132396254,102.579173,16.049732,0.0,2.0113563333333335,4.089950970053633,23,15,0,0,2,3,1,38,91,0,0,1.2682926829268293,464.93548387096774,64240,65535,0,0,0,0,0,0,0,0,0,0,955.4285714285714,4.714285714285714,0,3553.806047634179027230613744,767.7073170731708,226.21153846153845,0,41,52,31476,11763
10.0.2.15,192.168.10.1,51556,53,17,2024-05-21 04:56:49,0.758005,405.0105210387794,5.277010046107875,3.957757534580906,1.3192525115269687,3,1,230,77,77,76,76.66666666666667,0.4714045207910317,77,77,77.0,0.0,77,76,76.75,0.4330127018922193,0.1875,60,20,20,3,0.25266833333333333,0.598685,0.0,0.2531684100993294,0.758005,0.758005,0.0,0.3790025,0.3790025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,76.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.66666666666667,77.0,0,3,1,230,77
