src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,53652,53,17,2024-05-21 05:29:14,38.377558,32.779573937455844,0.20845516017459995,0.13028447510912497,0.07817068506547498,5,3,433,825,92,80,86.6,3.9799497484264794,644,89,275.0,260.9252766598131,644,80,157.25,184.01002010760175,33859.6875,100,60,20,5,5.482508285714286,25.112641,0.0,8.48765846787697,38.377558,25.254919,0.0,9.5943895,9.446562661641073,13.140985,7.363041,5.777944,6.5704925,0.7925485000000001,0,0,0,0,0,0,0,0,0,0,0,0.6,157.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6,275.0,0,5,3,433,825
10.0.2.15,192.168.10.1,63018,53,17,2024-05-21 05:29:14,44.06503,70.78175142510966,0.2269373242228588,0.1361623945337153,0.09077492968914352,6,4,514,2605,91,77,85.66666666666667,5.70574758954123,713,613,651.25,40.794454279963105,713,77,311.9,278.31185745490615,77457.49,120,80,20,6,4.896114444444445,29.584049,0.0,9.015199863620527,44.06503,30.192352,0.0,8.813006,10.939514192905953,40.996316,29.703931,3.490749,13.665438666666667,11.476668039301487,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,311.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.66666666666667,651.25,0,6,4,514,2605
10.0.2.15,52.113.194.132,49751,443,6,2024-05-21 05:29:14,0.5906,55741.618692854725,69.42092786996275,23.704707077548257,45.71622079241449,14,27,1820,31101,654,54,130.0,165.59675635194583,1514,60,1151.888888888889,542.1071599227464,1514,54,802.9512195121952,661.598505882773,437712.5829863177,280,540,20,3,0.014765,0.258318,0.0,0.05495846448910304,0.5906,0.258318,0.0,0.045430769230769226,0.08907460267762925,0.570735,0.259195,0.0,0.021951346153846158,0.06710842552681348,3,8,0,0,0,3,0,11,39,0,0,1.9285714285714286,802.9512195121952,65535,65535,0,0,0,0,0,0,0,0,0,0,14644.5,12.0,0,106562.8047094436278433484202,130.0,1151.888888888889,0,14,27,1820,31101
10.0.2.15,104.208.16.95,49752,443,6,2024-05-21 05:29:14,33.090862,578.1052182925908,1.3901118683460103,0.6648361109480919,0.7252757573979185,22,24,9722,9408,2746,54,441.90909090909093,673.8924859683688,1514,60,392.0,505.7202784148565,2746,54,415.8695652173913,592.6643455321303,351251.02646502835,440,480,20,9,0.7353524888888889,31.602137,0.0,4.6539345412265885,33.090862,31.602137,0.0,1.5757553333333334,6.714794344536486,32.868051,31.602745,0.0,1.429045695652174,6.433652504801671,9,11,0,0,0,3,0,20,44,0,0,1.0909090909090908,415.8695652173913,65535,65535,0,0,0,0,0,0,0,0,0,0,2493.0,4.666666666666667,0,10606.53977771506287484169608,441.90909090909093,392.0,0,22,24,9722,9408
10.0.2.15,192.168.10.1,55088,53,17,2024-05-21 05:29:19,0.137515,4879.467694433335,21.815801912518634,14.543867941679089,7.2719339708395445,2,1,148,523,74,74,74.0,0.0,523,523,523.0,0.0,523,74,223.66666666666666,211.66062983517324,44800.222222222226,40,20,20,2,0.0687575,0.137515,0.0,0.0687575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,223.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,523.0,0,2,1,148,523
10.0.2.15,192.168.10.1,60219,53,17,2024-05-21 05:29:19,0.102938,6518.486856165848,29.14375643591288,19.429170957275254,9.714585478637627,2,1,148,523,74,74,74.0,0.0,523,523,523.0,0.0,523,74,223.66666666666666,211.66062983517324,44800.222222222226,40,20,20,2,0.051469,0.102938,0.0,0.051469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,223.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,523.0,0,2,1,148,523
10.0.2.15,192.168.10.1,61882,53,17,2024-05-21 05:29:19,0.106412,5873.39773709732,28.192309138067134,18.79487275871142,9.39743637935571,2,1,148,477,74,74,74.0,0.0,477,477,477.0,0.0,477,74,208.33333333333334,189.97602187878576,36090.88888888888,40,20,20,2,0.053206,0.106412,0.0,0.053206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,208.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,477.0,0,2,1,148,477
10.0.2.15,192.168.10.1,56496,53,17,2024-05-21 05:29:19,0.105657,7600.064359200053,28.393764729265452,18.929176486176967,9.464588243088484,2,1,162,641,81,81,81.0,0.0,641,641,641.0,0.0,641,81,267.6666666666667,263.98653164297775,69688.88888888889,40,20,20,2,0.0528285,0.105657,0.0,0.0528285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,267.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,641.0,0,2,1,162,641
10.0.2.15,192.168.10.1,51926,53,17,2024-05-21 05:29:19,0.119422,5409.388554872637,25.120999480832676,16.747332987221785,8.373666493610893,2,1,162,484,81,81,81.0,0.0,484,484,484.0,0.0,484,81,215.33333333333334,189.97602187878576,36090.88888888888,40,20,20,2,0.059711,0.119422,0.0,0.059711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,215.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,484.0,0,2,1,162,484
10.0.2.15,192.168.10.2,52500,53,17,2024-05-21 05:29:19,0.104973,7649.5860840406585,28.578777399902833,19.05251826660189,9.526259133300945,2,1,162,641,81,81,81.0,0.0,641,641,641.0,0.0,641,81,267.6666666666667,263.98653164297775,69688.88888888889,40,20,20,2,0.0524865,0.104973,0.0,0.0524865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,267.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,641.0,0,2,1,162,641
