src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,34.143.146.135,49879,5938,6,2024-05-23 01:53:54,119.157446,3275.1373338431576,5.102492713715935,1.795943159103964,3.3065495546119714,214,394,174691,215566,9056,54,816.3130841121496,1145.73593462232,1514,60,547.1218274111675,584.1725289105235,9056,54,641.8700657894736,836.4877196687197,699711.7051565746,4280,7880,20,141,0.19630551235584845,23.891785,0.0,1.4849274853854557,119.157446,23.892183,0.0,0.5594246291079813,2.466823185111461,119.08211,23.893032,0.0,0.3030079134860051,1.8397609245617932,141,156,0,0,0,3,0,297,606,0,0,1.841121495327103,641.8700657894736,64240,65535,0,0,0,0,0,0,0,0,0,0,4591.027027027027,6.324324324324325,0,25379.54725354715732874991073,816.3130841121496,547.1218274111675,0,214,394,174691,215566
10.0.2.15,192.168.10.1,61792,53,17,2024-05-23 01:53:53,0.0,0,0,0,0,2,0,166,0,83,83,83.0,0.0,0,0,0,0.0,83,83,83.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0,0,2,0,166,0
10.0.2.15,224.0.0.251,5353,5353,17,2024-05-23 01:53:53,85.059146,83.00106845653023,0.37620880886812574,0.37620880886812574,0.0,32,0,7060,0,511,83,220.625,115.0458468394231,0,0,0,0.0,511,83,220.625,115.0458468394231,13235.546875,640,0,20,32,2.7438434193548384,59.796793,0.0,10.467069072602625,85.059146,59.796793,0.0,2.7438434193548384,10.467069072602625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,220.625,0,0,0,0,0,0,0,0,0,0,1850.0,11.0,0,0,602.3254973499306023352647904,0,220.625,0,0,32,0,7060,0
10.0.2.15,192.168.10.2,61792,53,17,2024-05-23 01:53:53,0.0,0,0,0,0,2,0,166,0,83,83,83.0,0.0,0,0,0,0.0,83,83,83.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0,0,2,0,166,0
10.0.2.15,192.168.0.1,61792,53,17,2024-05-23 01:53:54,0.019926,18066.847335140017,150.55706112616681,100.37137408411121,50.185687042055605,2,1,166,194,83,83,83.0,0.0,194,194,194.0,0.0,194,83,120.0,52.32590180780452,2738.0,40,20,20,2,0.009963,0.019926,0.0,0.009963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,194.0,0,2,1,166,194
10.0.2.15,192.168.10.1,57490,53,17,2024-05-23 01:53:54,0.0,0,0,0,0,2,0,138,0,69,69,69.0,0.0,0,0,0,0.0,69,69,69.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,2,0,138,0
10.0.2.15,192.168.0.1,57490,53,17,2024-05-23 01:53:55,0.134428,1658.8805903532004,22.316779242419734,14.877852828279824,7.438926414139912,2,1,138,85,69,69,69.0,0.0,85,85,85.0,0.0,85,69,74.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.067214,0.134428,0.0,0.067214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,74.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,85.0,0,2,1,138,85
10.0.2.15,192.168.10.1,50869,53,17,2024-05-23 01:53:55,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.10.1,57943,53,17,2024-05-23 01:53:55,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.0.1,59261,53,17,2024-05-23 01:53:55,9.026391,121.42172879504112,1.2186487379064346,0.6647174934035097,0.5539312445029247,6,5,441,655,84,69,73.5,6.422616289332565,316,84,131.0,92.50081080725725,316,69,99.63636363636364,68.78592975479364,4731.5041322314055,120,100,20,6,0.9026390999999998,4.505831,0.0,1.3922808146986332,9.022847,4.522005,0.0,1.8045693999999997,1.5154891651854987,9.013048,4.509035,0.932545,2.253262,1.3552193411011002,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,99.63636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,131.0,0,6,5,441,655
