src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,58883,53,17,2024-05-20 04:32:04,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.2,58883,53,17,2024-05-20 04:32:05,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.1,58513,53,17,2024-05-20 04:32:06,0.0,0,0,0,0,2,0,154,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,2,0,154,0
10.0.2.15,117.18.232.240,49735,80,6,2024-05-20 04:32:06,0.019758,14272.699665958093,253.0620508148598,151.83723048891588,101.22482032594391,3,2,162,120,54,54,54.0,0.0,60,60,60.0,0.0,60,54,56.4,2.9393876913398134,8.639999999999999,60,40,20,0,0.0049394999999999994,0.018446,0.0,0.007813648875525442,0.019758,0.019758,0.0,0.009879,0.009879,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0.6666666666666666,56.4,63950,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,60.0,0,3,2,162,120
10.0.2.15,117.18.232.240,49736,80,6,2024-05-20 04:32:06,0.020439,13797.152502568619,244.6303635207202,146.7782181124321,97.85214540828808,3,2,162,120,54,54,54.0,0.0,60,60,60.0,0.0,60,54,56.4,2.9393876913398134,8.639999999999999,60,40,20,0,0.005109750000000001,0.019452,0.0,0.0082888870294811,0.020439,0.020439,0.0,0.0102195,0.0102195,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0.6666666666666666,56.4,63659,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,60.0,0,3,2,162,120
10.0.2.15,192.168.160.42,58883,53,17,2024-05-20 04:32:06,0.016187,21066.287761784148,185.3339099277198,123.55593995181319,61.77796997590659,2,1,156,185,78,78,78.0,0.0,185,185,185.0,0.0,185,78,113.66666666666667,50.44028372464039,2544.222222222222,40,20,20,2,0.0080935,0.016187,0.0,0.0080935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,113.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,185.0,0,2,1,156,185
10.0.2.15,18.245.218.9,49744,443,6,2024-05-20 04:32:06,23.012816,569.204568445687,1.4774376156312203,0.6518107127784796,0.8256269028527408,15,19,1426,11673,255,54,95.06666666666666,64.7986282433681,1514,60,614.3684210526316,609.4071502634702,1514,54,385.2647058823529,525.2353147048938,275872.13581314875,300,380,20,5,0.6973580606060606,21.569542,0.0,3.6910550857310307,23.012815999999997,21.569542,0.0,1.6437725714285711,5.527917347065215,22.71267,21.569969,0.0,1.261815,4.926716959424141,5,8,0,0,2,3,0,13,32,0,0,1.2666666666666666,385.2647058823529,64240,65535,0,0,0,0,0,0,0,0,0,0,5185.5,5.5,0,18267.45412880395821260420868,95.06666666666666,614.3684210526316,0,15,19,1426,11673
10.0.2.15,192.168.10.2,58513,53,17,2024-05-20 04:32:07,0.0,0,0,0,0,2,0,154,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,2,0,154,0
10.0.2.15,192.168.160.42,58513,53,17,2024-05-20 04:32:08,0.021533,12213.811359308967,139.32104212139507,92.8806947475967,46.44034737379835,2,1,154,109,77,77,77.0,0.0,109,109,109.0,0.0,109,77,87.66666666666667,15.084944665313014,227.55555555555557,40,20,20,2,0.0107665,0.021533,0.0,0.0107665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,87.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,109.0,0,2,1,154,109
10.0.2.15,69.26.176.251,49745,443,6,2024-05-20 04:32:08,21.198829,668.527492721414,1.6038621755946991,0.660413837009582,0.9434483385851171,14,20,1347,12825,254,54,96.21428571428571,62.79351487378359,1514,60,641.25,635.7509634282908,1514,54,416.8235294117647,557.9689254782097,311329.321799308,280,400,20,5,0.6423887575757575,21.052291,0.0,3.6080053314955736,21.198829,21.052291,0.0,1.6306791538461538,5.606551499200774,21.167345,21.052665,0.0,1.1140707894736845,4.699579663566829,5,7,0,0,2,3,0,12,32,0,0,1.4285714285714286,416.8235294117647,64240,65535,0,0,0,0,0,0,0,0,0,0,10685.0,10.0,0,471806.4202764163023800061818,96.21428571428571,641.25,0,14,20,1347,12825
