src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,52074,53,17,2024-05-21 07:18:04,8.024057,38.88307373688895,0.49850094534473016,0.49850094534473016,0.0,4,0,312,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,80,0,20,4,2.6746856666666665,4.017529,0.0,1.891293704867003,8.024056999999999,4.017529,0.0,2.6746856666666665,1.891293704867003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,4,0,312,0
10.0.2.15,192.168.10.2,52074,53,17,2024-05-21 07:18:05,7.226495,134.92017914632197,0.8302780255158275,0.6918983545965229,0.1383796709193046,5,1,390,585,78,78,78.0,0.0,585,585,585.0,0.0,585,78,162.5,188.94774409873222,35701.25,100,20,20,5,1.4452990000000001,4.006429,0.0,1.463266374457911,7.0229610000000005,4.006429,0.0,1.7557402500000001,1.481407018602986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,585.0,0,5,1,390,585
10.0.2.15,192.168.10.1,54261,53,17,2024-05-21 07:18:05,4.19626,177.06243178449384,0.953229780804812,0.714922335603609,0.238307445201203,3,1,231,512,77,77,77.0,0.0,512,512,512.0,0.0,512,77,185.75,188.3605253231154,35479.6875,60,20,20,3,1.3987533333333333,4.028611,0.0,1.8608492786886912,4.028611,4.028611,0.0,2.0143055,2.0143055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,185.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,512.0,0,3,1,231,512
10.0.2.15,192.168.10.2,54261,53,17,2024-05-21 07:18:06,3.181542,257.7366572561356,1.5715649832691192,1.2572519866152954,0.31431299665382384,4,1,308,512,77,77,77.0,0.0,512,512,512.0,0.0,512,77,164.0,174.0,30276.0,80,20,20,4,0.7953855,2.009638,0.0,0.7970845411970112,3.011885,2.009638,0.0,1.0039616666666666,0.8204321738459283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,512.0,0,4,1,308,512
10.0.2.15,192.168.10.1,50928,53,17,2024-05-21 07:18:09,17.403407,60.90761423898205,0.3447600805980116,0.28730006716500966,0.05746001343300194,5,1,426,634,90,78,85.2,5.878775382679627,634,634,634.0,0.0,634,78,176.66666666666666,204.5960790327018,41859.55555555556,100,20,20,5,3.4806813999999995,8.440292,0.0,2.9585503321472557,17.403407,9.374888,0.0,4.3508517499999995,3.3315798753341017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,176.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,634.0,0,5,1,426,634
10.0.2.15,69.26.176.251,49735,443,6,2024-05-21 07:18:09,13.537791,1062.4333024494174,2.8069572059429784,1.1818767182917804,1.625080487651198,16,22,1454,12929,254,54,90.875,60.25868713305991,1514,60,587.6818181818181,629.2089829419762,1514,54,378.5,539.3536458235524,290902.3552631579,320,440,20,5,0.3658862432432432,12.334513,0.0,1.996110096534858,13.537790999999999,12.334513,0.0,0.9025193999999999,3.057060485327821,13.335222,12.396081,0.0,0.6350105714285714,2.63120562680776,5,9,0,0,2,3,0,14,36,0,0,1.375,378.5,64240,65535,0,0,0,0,0,0,0,0,0,0,5792.5,7.5,0,26582.68511507308230650971754,90.875,587.6818181818181,0,16,22,1454,12929
10.0.2.15,170.72.245.227,49736,443,6,2024-05-21 07:18:10,13.193033,1064.804431247917,3.1077008599917852,1.3643564751183448,1.7433443848734405,18,23,5315,8733,2548,54,295.27777777777777,593.0545979695626,1514,60,379.69565217391306,523.6673715900705,2548,54,342.6341463414634,556.7773017213221,310000.9637120762,360,460,20,8,0.329825825,6.497705,0.0,1.2551401670965854,13.193033,6.497705,0.0,0.7760607647058824,1.8337742061448192,12.92929,6.55575,0.0,0.587695,1.6637387621955284,8,9,0,0,2,3,1,17,39,0,0,1.2777777777777777,342.6341463414634,64240,65535,0,0,0,0,0,0,0,0,0,0,6756.0,7.0,0,25098.91334633602674839788242,295.27777777777777,379.69565217391306,0,18,23,5315,8733
10.0.2.15,18.164.174.24,49737,443,6,2024-05-21 07:18:12,11.123198,1187.6080961608343,3.236479293095385,1.4384352413757266,1.7980440517196583,16,20,1480,11730,255,54,92.5,63.52361765516822,1514,60,586.5,622.6993255175406,1514,54,366.94444444444446,526.7526799195891,277468.3858024691,320,400,20,5,0.31780565714285713,10.12062,0.0,1.6825298462333769,11.123198,10.12062,0.0,0.7415465333333333,2.508282974180542,10.936389,10.121047,0.0,0.5755994210526317,2.251263545228261,5,9,0,0,2,3,0,14,34,0,0,1.25,366.94444444444446,64240,65535,0,0,0,0,0,0,0,0,0,0,5187.0,6.0,0,26057.73191733062725436807363,92.5,586.5,0,16,20,1480,11730
10.0.2.15,192.168.10.2,51301,53,17,2024-05-21 07:18:16,2.201066,334.83775588737456,1.8173012531200792,1.3629759398400594,0.4543253132800198,3,1,234,503,78,78,78.0,0.0,503,503,503.0,0.0,503,78,184.25,184.0303983041932,33867.1875,60,20,20,3,0.7336886666666667,2.003819,0.0,0.9017205378210159,2.003819,2.003819,0.0,1.0019095,1.0019095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,184.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,503.0,0,3,1,234,503
10.0.2.15,192.168.10.2,52914,53,17,2024-05-21 07:18:17,63.940031,28.83952308374702,0.09383792760438293,0.06255861840292196,0.03127930920146098,4,2,296,1548,74,74,74.0,0.0,908,640,774.0,134.0,908,74,307.3333333333333,338.93099920518074,114874.22222222223,80,40,20,4,12.788006200000002,61.574747,0.0,24.40481619756783,63.788824999999996,61.755131,0.0,21.262941666666666,28.644336561541493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,307.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,774.0,0,4,2,296,1548
