src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,10.0.2.255,138,138,17,2024-05-23 13:18:16,0.0,0,0,0,0,2,0,486,0,243,243,243.0,0.0,0,0,0,0.0,243,243,243.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.0,0,0,2,0,486,0
10.0.2.15,192.168.10.1,51416,53,17,2024-05-23 13:18:21,0.0,0,0,0,0,2,0,150,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,2,0,150,0
10.0.2.15,192.168.10.1,56532,53,17,2024-05-23 13:18:22,0.0,0,0,0,0,2,0,138,0,69,69,69.0,0.0,0,0,0,0.0,69,69,69.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,2,0,138,0
10.0.2.15,192.168.10.2,51416,53,17,2024-05-23 13:18:22,0.0,0,0,0,0,2,0,150,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,2,0,150,0
10.0.2.15,144.195.28.213,19870,3478,17,2024-05-23 13:18:22,0.592212,955.7388232592383,11.820091453736163,6.754337973563522,5.065753480172641,4,3,344,222,86,86,86.0,0.0,74,74,74.0,0.0,86,74,80.85714285714286,5.938459911664721,35.265306122448976,80,60,20,4,0.098702,0.48767,0.0,0.1752833547022268,0.040112999999999996,0.023249,0.0,0.013371,0.009807472899104368,0.064429,0.064429,0.0,0.0322145,0.0322145,0,0,0,0,0,0,0,0,0,0,0,0.75,80.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,74.0,0,4,3,344,222
10.0.2.15,144.195.29.213,19870,3478,17,2024-05-23 13:18:22,0.507091,1116.170470388944,13.8042284323721,7.888130532784057,5.916097899588043,4,3,344,222,86,86,86.0,0.0,74,74,74.0,0.0,86,74,80.85714285714286,5.938459911664721,35.265306122448976,80,60,20,4,0.08451516666666666,0.466684,0.0,0.1711538138833183,0.038742,0.025348,0.0,0.012914,0.010353842314168527,0.001665,0.001665,0.0,0.0008325,0.0008325,0,0,0,0,0,0,0,0,0,0,0,0.75,80.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,74.0,0,4,3,344,222
10.0.2.15,144.195.29.213,19870,3479,17,2024-05-23 13:18:22,0.447566,1264.6179557875262,15.64015139666552,8.937229369523154,6.702922027142366,4,3,344,222,86,86,86.0,0.0,74,74,74.0,0.0,86,74,80.85714285714286,5.938459911664721,35.265306122448976,80,60,20,4,0.07459433333333333,0.400039,0.0,0.14592074884067113,0.046743,0.026438,0.0,0.015581,0.011298350705597107,0.000784,0.000784,0.0,0.000392,0.000392,0,0,0,0,0,0,0,0,0,0,0,0.75,80.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,74.0,0,4,3,344,222
10.0.2.15,192.168.10.2,56532,53,17,2024-05-23 13:18:23,0.0,0,0,0,0,2,0,138,0,69,69,69.0,0.0,0,0,0,0.0,69,69,69.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,2,0,138,0
10.0.2.15,192.168.0.1,51416,53,17,2024-05-23 13:18:23,0.029029,8302.042784801406,103.34493093113782,68.89662062075855,34.44831031037928,2,1,150,91,75,75,75.0,0.0,91,91,91.0,0.0,91,75,80.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0145145,0.029029,0.0,0.0145145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,80.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,91.0,0,2,1,150,91
10.0.2.15,170.114.52.5,49770,443,6,2024-05-23 13:18:23,55.467874,2580.3945541521925,2.5600404298892,0.630995880606493,1.9290445492827073,35,107,16764,126365,2373,54,478.9714285714286,665.0642282931041,1514,60,1180.981308411215,559.9191861132527,2373,54,1007.9507042253521,660.8977284187633,436785.8074290815,700,2140,20,13,0.3933891773049645,23.329096,0.0,2.4799623366547614,55.467874,23.329096,0.0,1.6314080588235296,4.846674745542271,55.444324,23.330727,0.0,0.5230596603773586,2.849347421031038,13,17,0,0,0,3,0,30,140,0,0,3.057142857142857,1007.9507042253521,64240,65535,0,0,0,0,0,0,0,0,0,0,22440.0,18.0,0,47650.57603260964197939303699,478.9714285714286,1180.981308411215,0,35,107,16764,126365
