bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
68.333336,65.0,64.940796,226.0,91.0,60.0,229.00237,0.5,0.0,17953.484,71.0,8.0,0.5,2.0,0,0,2
575.6666666666666,54.0,54.0,3454.0,729.0,60.0,363.46153846153845,232.87878952846887,666.7527444429624,4248.928775364307,181.57142857142856,3.0,0.8571428571428571,2.0,3,0,6
54.0,54.0,114.0,16470.0,1514.0,54.0,1082.4202719406676,291.2365175236216,0.0,746472.352309645,1326.4639498432605,522.0,0.2384206529992407,1313.0,0,0,3
69.29032258064517,54.0,60.0,2148.0,1514.0,54.0,1256.8450704225352,210.2537626985484,83.74854588949958,136810.26460266672,1459.1208791208792,15.0,0.1703296703296703,182.0,0,0,1
1316.4206842923795,54.0,54.0,1682405.0,54.0,114.0,996.7987312572088,0.0,217.76381492521864,1242401.9148319962,54.0,812.0,2.9375,0.0,0,0,3
54.0,54.0,60.0,54.0,85.0,54.0,71.0,11.785113019775793,0.0,469421.4876033058,76.66666666666667,2.0,0.3333333333333333,3.0,0,1,9
60.0,60.0,105.0,60.0,105.0,60.0,90.0,0.0,0.0,44415.19986839941,105.0,2.0,0.5,2.0,0,0,3
54.07939508506616,54.0,60.0,28608.0,1514.0,54.0,1084.594279262326,212.62198258809903,1.824360159959147,1801421.902270943,1341.3751763046544,1056.0,0.2491772449459332,2127.0,0,0,6
569.6,54.0,54.0,5696.0,577.0,60.0,393.3684210526316,206.780673452768,621.6497727820706,11157.288811660665,197.5555555555556,7.0,1.1111111111111112,4.0,3,0,9
1367.9570247933884,54.0,54.0,827614.0,528.0,60.0,1215.33236574746,159.90307970129655,352.81471006852155,135246.70259402506,116.07142857142856,124.0,7.2023809523809526,11.0,0,0,5
647.375,54.0,54.0,5179.0,343.0,60.0,376.0625,94.77176531013863,583.8880323957668,8040.613315587057,104.75,6.0,1.0,2.0,3,0,8
92.24302,54.0,54.0,120.0,78.0,78.0,78.0,0.0,0.0,1796.7554,55.0,0.0,0.5,2.0,0,0,2
479.0,54.0,54.0,5748.0,528.0,60.0,371.76,236.29777623425585,514.2159079608487,135.08618830206515,272.7692307692308,11.0,0.9230769230769232,6.0,0,2,5
154.73888,54.0,54.0,205.0,660.0461,60.0,204.33333,0.0,315.63208,18880.303,218.04103,2.0,1.1428572,2.0,0,0,5
60.0,50.0,54.0,205.0,163.90639,60.0,78.47809,0.0,0.0,5959.709,76.04579,0.0,0.5,2.0,0,0,2
697.9712,54.0,60.0,629.0,256.2935,79.0,141.59544,416.75897,528.06976,120749.24,104.0,0.0,0.6666667,2.0,0,0,4
0.0,66.0,66.0,0.0,66.0,0.0,66.0,0.0,0.0,26.23527222374341,66.0,0.0,0.0,0.0,6,0,0
147.26837,54.0,54.0,1322.276,87.0,68.333336,100.0,0.0,0.0,2774.04,71.0,0.0,0.5,3.0,0,0,2
639.4,54.0,54.0,6394.0,368.0,60.0,384.10526315789474,97.67873771947065,632.9556382559523,13688.558106034743,100.44444444444444,5.0,1.1111111111111112,2.0,3,2,8
106.0,70.0,73.0,509.18234,146.76288,60.0,132.37543,0.0,0.0,237.2437,96.0,0.0,1.0,2.0,0,0,8
54.0,54.0,114.0,12906.0,1514.0,54.0,1111.9853917662683,241.44374624529004,0.0,865606.4828714351,1316.5689102564102,673.0,0.1926677067082683,1273.0,0,0,3
85.0,54.0,54.0,2023.2139,238.0,60.0,67.875,8.485281,0.0,18448.709,109.49708,2.0,0.75,4.0,0,0,9
196.5,54.0,54.0,1179.0,1209.0,60.0,273.5,427.8300869893717,194.6670234014996,6440.320092935271,350.5,5.0,1.0,3.0,3,0,3
95.0,79.0,79.0,95.0,79.0,95.0,84.33333333333333,0.0,0.0,67719.48608137044,79.0,0.0,0.5,2.0,0,0,8
340.4559,54.0,54.0,713.55695,456.81558,60.0,331.71832,154.03398,372.4814,1032.9412,66.39432,1.0,0.5,3.0,3,0,7
54.0,54.0,114.0,12366.0,1514.0,54.0,1184.6561328334226,314.81099419816263,0.0,1023933.3571930107,1348.6404215747054,502.0,0.15,1650.0,0,0,3
882.5,54.0,55.0,5295.0,215.33263,60.0,390.74512,8.485281,0.0,15005.194,93.35463,2.0,0.5,3.0,0,0,9
64.5,54.0,54.0,258.0,55.0,60.0,59.5,0.5,7.794228634059948,43.76493156488685,54.5,1.0,1.0,2.0,0,2,8
479.0,54.0,54.0,3268.0,1237.1306,60.0,228.66667,0.0,525.6298,216980.75,112.38278,0.0,0.5,3.0,0,2,5
54.0,54.0,114.0,27918.0,1514.0,54.0,999.290214797136,221.2198967284965,0.0,1112085.1857357137,1317.8371943371944,948.0,0.3379483952171176,1577.0,0,0,3
1314.0,54.0,54.0,1649270.0,54.0,314.0,980.0854503464204,0.0,215.1568965164191,1061280.233951382,54.0,770.0,2.767741935483871,0.0,0,0,3
74.0,74.0,86.0,74.0,86.0,74.0,82.0,0.0,0.0,1372.44619006706,86.0,0.0,0.5,2.0,0,0,9
