src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,57381,53,17,2024-05-25 12:04:46,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,239.255.255.250,1900,1900,17,2024-05-25 12:04:46,20.043646,42.50723645787797,0.299346735618859,0.299346735618859,0.0,6,0,852,0,142,142,142.0,0.0,0,0,0,0.0,142,142,142.0,0.0,0.0,120,0,20,6,4.0087292,8.010197,0.0,2.831339545596423,20.043646,8.010197,0.0,4.0087292,2.831339545596423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0,0,6,0,852,0
10.0.2.15,239.255.255.250,57382,1900,17,2024-05-25 12:04:46,20.044461,42.50550813015127,0.2993345642968399,0.2993345642968399,0.0,6,0,852,0,142,142,142.0,0.0,0,0,0,0.0,142,142,142.0,0.0,0.0,120,0,20,6,4.0088922,8.010205,0.0,2.8313090627936326,20.044461,8.010205,0.0,4.0088922,2.8313090627936326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0,0,6,0,852,0
10.0.2.15,10.0.2.2,57383,5351,17,2024-05-25 12:04:46,20.516973,94.45837843623423,0.9260625336885709,0.9260625336885709,0.0,19,0,1938,0,102,102,102.0,0.0,0,0,0,0.0,102,102,102.0,0.0,0.0,380,0,20,19,1.1398318333333333,2.266209,0.0,0.6601212045571,20.516973,2.266209,0.0,1.1398318333333333,0.6601212045571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,102.0,0,0,0,0,0,0,0,0,0,0,240.0,4.0,0,0,154.8970209107751208277438636,0,102.0,0,0,19,0,1938,0
10.0.2.15,192.168.10.2,57381,53,17,2024-05-25 12:04:46,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.1,54079,53,17,2024-05-25 12:04:46,0.0,0,0,0,0,2,0,150,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,2,0,150,0
10.0.2.15,192.168.10.2,54079,53,17,2024-05-25 12:04:46,0.0,0,0,0,0,2,0,150,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,2,0,150,0
10.0.2.15,192.168.215.39,57381,53,17,2024-05-25 12:04:47,0.056399,4432.702707494814,53.192432489937765,35.46162165995851,17.730810829979255,2,1,156,94,78,78,78.0,0.0,94,94,94.0,0.0,94,78,83.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0281995,0.056399,0.0,0.0281995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,83.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,94.0,0,2,1,156,94
10.0.2.15,192.168.10.1,55903,53,17,2024-05-25 12:04:47,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,192.168.215.39,55903,53,17,2024-05-25 12:04:47,0.051552,5024.05338299193,58.19366852886406,38.79577901924271,19.397889509621354,2,1,162,97,81,81,81.0,0.0,97,97,97.0,0.0,97,81,86.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.025776,0.051552,0.0,0.025776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,86.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,97.0,0,2,1,162,97
10.0.2.15,192.168.10.1,65436,53,17,2024-05-25 12:04:47,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.215.39,54079,53,17,2024-05-25 12:04:47,0.056798,4806.507271382795,52.81876122398676,35.21250748265784,17.60625374132892,2,1,150,123,75,75,75.0,0.0,123,123,123.0,0.0,123,75,91.0,22.627416997969522,512.0,40,20,20,2,0.028399,0.056798,0.0,0.028399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,123.0,0,2,1,150,123
10.0.2.15,192.168.215.39,65436,53,17,2024-05-25 12:04:47,0.034311,7373.72854186704,87.43551630672378,58.29034420448252,29.14517210224126,2,1,158,95,79,79,79.0,0.0,95,95,95.0,0.0,95,79,84.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0171555,0.034311,0.0,0.0171555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,84.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,95.0,0,2,1,158,95
10.0.2.15,104.20.227.61,49891,443,6,2024-05-25 12:04:47,0.224957,36904.83070097841,88.90587979035993,40.007645905661974,48.898233884697966,9,11,1370,6932,571,54,152.22222222222223,176.08506642326017,1514,60,630.1818181818181,573.37451162265,1514,54,415.1,501.3082784076081,251309.98999999993,180,220,20,3,0.011839842105263157,0.080038,0.0,0.02126401428968461,0.22495700000000002,0.081503,0.0,0.028119625000000002,0.026078965671291015,0.19170399999999999,0.080038,0.0,0.019170399999999997,0.025712809166639105,3,5,0,0,0,3,0,8,18,0,0,1.2222222222222223,415.1,64240,65535,0,0,0,0,0,0,0,0,0,0,4714.0,5.0,0,58393.61807551283321771875929,152.22222222222223,630.1818181818181,0,9,11,1370,6932
10.0.2.15,192.168.10.1,59790,53,17,2024-05-25 12:04:47,0.0,0,0,0,0,2,0,164,0,82,82,82.0,0.0,0,0,0,0.0,82,82,82.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,2,0,164,0
10.0.2.15,192.168.215.39,59790,53,17,2024-05-25 12:04:47,0.059687,4657.630639837821,50.262201149329,33.50813409955267,16.754067049776335,2,1,164,114,82,82,82.0,0.0,114,114,114.0,0.0,114,82,92.66666666666667,15.084944665313014,227.55555555555557,40,20,20,2,0.0298435,0.059687,0.0,0.0298435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,92.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,114.0,0,2,1,164,114
10.0.2.15,192.168.10.1,64488,53,17,2024-05-25 12:04:47,3.107709,72.40060121459248,0.9653413495278999,0.9653413495278999,0.0,3,0,225,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,60,0,20,3,1.5538545,3.107709,0.0,1.5538545,3.107709,3.107709,0.0,1.5538545,1.5538545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,3,0,225,0
10.0.2.15,192.168.215.39,64488,53,17,2024-05-25 12:04:48,3.085411,126.72541842885761,1.2964237179422773,0.972317788456708,0.3241059294855693,3,1,225,166,75,75,75.0,0.0,166,166,166.0,0.0,166,75,97.75,39.40415587219196,1552.6875,60,20,20,3,1.0284703333333334,3.034657,0.0,1.418739510566177,3.034657,3.034657,0.0,1.5173285,1.5173285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,97.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,166.0,0,3,1,225,166
10.0.2.15,192.168.10.2,64488,53,17,2024-05-25 12:04:49,2.012964,111.77547139442134,1.4903396185922846,1.4903396185922846,0.0,3,0,225,0,75,75,75.0,0.0,0,0,0,0.0,75,75,75.0,0.0,0.0,60,0,20,3,1.006482,2.012964,0.0,1.006482,2.012964,2.012964,0.0,1.006482,1.006482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,3,0,225,0
10.0.2.15,34.229.89.117,5778,6881,17,2024-05-25 12:04:51,0.0,0,0,0,0,2,0,306,0,153,153,153.0,0.0,0,0,0,0.0,153,153,153.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,2,0,306,0
10.0.2.15,67.215.246.10,5778,6881,17,2024-05-25 12:04:51,0.276742,3013.6372505799627,10.840421764676124,7.226947843117417,3.6134739215587084,2,1,306,528,153,153,153.0,0.0,528,528,528.0,0.0,528,153,278.0,176.7766952966369,31250.0,40,20,20,2,0.138371,0.276742,0.0,0.138371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,278.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,528.0,0,2,1,306,528
10.0.2.15,82.221.103.244,5778,6881,17,2024-05-25 12:04:51,0.0,0,0,0,0,2,0,306,0,153,153,153.0,0.0,0,0,0,0.0,153,153,153.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,2,0,306,0
10.0.2.15,87.98.162.88,5778,6881,17,2024-05-25 12:04:51,0.0,0,0,0,0,2,0,306,0,153,153,153.0,0.0,0,0,0,0.0,153,153,153.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,2,0,306,0
10.0.2.15,185.157.221.247,5778,25401,17,2024-05-25 12:04:51,0.0,0,0,0,0,2,0,306,0,153,153,153.0,0.0,0,0,0,0.0,153,153,153.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,2,0,306,0
