src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,239.255.255.250,53064,1900,17,2024-05-21 04:18:40,3.011466,358.62931874376136,1.6603209201100062,1.6603209201100062,0.0,5,0,1080,0,216,216,216.0,0.0,0,0,0,0.0,216,216,216.0,0.0,0.0,100,0,20,5,0.7528665,1.006597,0.0,0.4346710034442716,3.011466,1.006597,0.0,0.7528665,0.4346710034442716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0,0,0,5,0,1080,0
10.0.2.15,192.168.10.1,64884,53,17,2024-05-21 04:18:40,0.225589,3040.9284140627424,13.298520761207328,8.865680507471552,4.432840253735776,2,1,178,508,89,89,89.0,0.0,508,508,508.0,0.0,508,89,228.66666666666666,197.5184942114423,39013.55555555556,40,20,20,2,0.1127945,0.225589,0.0,0.1127945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,228.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,508.0,0,2,1,178,508
10.0.2.15,192.168.10.1,62736,53,17,2024-05-21 04:18:40,0.223453,2998.393398164267,13.425642081332539,8.950428054221693,4.475214027110846,2,1,178,492,89,89,89.0,0.0,492,492,492.0,0.0,492,89,223.33333333333334,189.97602187878576,36090.88888888888,40,20,20,2,0.1117265,0.223453,0.0,0.1117265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,223.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,492.0,0,2,1,178,492
10.0.2.15,192.168.10.1,53678,53,17,2024-05-21 04:18:40,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.1,50624,53,17,2024-05-21 04:18:40,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.1,61666,53,17,2024-05-21 04:18:40,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.10.1,60940,53,17,2024-05-21 04:18:40,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.10.1,63350,53,17,2024-05-21 04:18:40,0.212511,1604.6228195246363,14.116916300803252,9.411277533868835,4.705638766934418,2,1,158,183,79,79,79.0,0.0,183,183,183.0,0.0,183,79,113.66666666666667,49.02607016226729,2403.555555555555,40,20,20,2,0.1062555,0.212511,0.0,0.1062555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,113.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,183.0,0,2,1,158,183
10.0.2.15,192.168.10.1,55171,53,17,2024-05-21 04:18:40,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,74.125.24.94,49733,443,6,2024-05-21 04:18:40,3.809999,3358.531065231251,9.186354117153313,3.9370089073514194,5.249345209801892,15,20,3173,9623,1793,54,211.53333333333333,432.1323665524514,1514,60,481.15,583.4699885169758,1793,54,365.6,540.71128815927,292368.6971428571,300,400,20,6,0.11205879411764708,3.536291,0.0,0.5967626400354213,3.809999,3.536669,0.0,0.2721427857142857,0.9064047623309182,3.7944929999999997,3.536672,0.0,0.1997101578947368,0.787397541002822,6,7,0,0,2,3,0,13,33,0,0,1.3333333333333333,365.6,64240,65535,0,0,0,0,0,0,0,0,0,0,3741.0,5.5,0,38219.48877219509204961075581,211.53333333333333,481.15,0,15,20,3173,9623
