src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,18.211.108.35,49726,443,6,2024-05-20 02:33:36,131.758153,454.9092305506135,0.6754800213387934,0.2352795579944112,0.44020046334438223,31,58,15487,44451,1960,54,499.5806451612903,711.587265937738,1514,60,766.3965517241379,630.8780673396234,1960,54,673.4606741573034,672.239892577478,451906.47317257925,620,1160,20,15,1.4972517386363635,45.035972,0.0,7.041118050195987,131.758153,45.035972,0.0,4.391938433333333,11.520679452994663,86.509702,45.037031,0.0,1.5177140701754386,6.4968432063173,13,23,0,0,0,3,0,36,87,0,0,1.8709677419354838,673.4606741573034,64240,65535,0,0,0,0,0,0,0,0,0,0,5649.285714285715,7.0,0,12561.24181113127093275598315,499.5806451612903,766.3965517241379,0,31,58,15487,44451
10.0.2.15,54.243.122.21,49724,443,6,2024-05-20 02:34:18,90.480799,50.198495705149554,0.1105206862728964,0.0552603431364482,0.0552603431364482,5,5,2826,1716,1331,54,565.2,625.2731882945245,1274,60,343.2,471.9298252918541,1331,54,454.2,564.945271685674,319163.16,100,100,20,4,10.05342211111111,45.103502,0.0,18.720497155776368,90.468439,45.104914,0.0,22.61710975,22.459686584920263,90.479084,45.115862,0.002507,22.619771,22.463240688736576,2,2,0,0,0,0,0,4,10,0,0,1.0,454.2,63578,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.2,343.2,0,5,5,2826,1716
10.0.2.15,44.194.199.215,49745,443,6,2024-05-20 02:34:21,121.325671,128.8185745949841,0.23902608377084517,0.09890734500862558,0.14011873876221959,12,17,1902,13727,571,54,158.5,169.38393272877644,1514,60,807.4705882352941,652.033391209833,1514,54,538.9310344827586,602.708308876346,363257.3055885849,240,340,20,4,4.333059678571429,120.39374,0.0,22.336060197576273,121.325671,120.39374,0.0,11.029606454545455,34.5842370125441,0.680315,0.326163,0.0,0.04251968749999999,0.09840850519627276,4,6,0,0,1,3,0,10,27,0,0,1.4166666666666667,538.9310344827586,64240,65535,0,0,0,0,0,0,0,0,0,0,6395.5,7.0,0,19431.05931250721581828898517,158.5,807.4705882352941,0,12,17,1902,13727
10.0.2.15,52.86.239.221,49749,9000,6,2024-05-20 02:34:23,95.491819,158.26486664789576,0.6073818742524948,0.28274673456581656,0.3246351396866783,27,31,7204,7909,4494,54,266.81481481481484,839.1658573111858,1514,60,255.1290322580645,408.3556120972522,4494,54,260.5689655172414,645.738500293268,416978.21076099883,540,620,20,13,1.675294403508772,24.022489,-3.8e-05,5.073026266835363,95.490706,24.022489,0.0,3.6727194615384615,7.0422509675167575,95.20455799999999,24.070379,0.0,3.1734852666666664,6.6715470552303024,13,12,0,0,0,3,0,25,56,0,0,1.1481481481481481,260.5689655172414,64240,65535,0,0,0,0,0,0,0,0,0,0,2243.5,5.0,0,6682.473066074125261743846972,266.81481481481484,255.1290322580645,0,27,31,7204,7909
10.0.2.15,23.15.18.153,49751,443,6,2024-05-20 02:34:23,93.314774,156.44896701994907,0.4393730836233928,0.20361191680108448,0.23576116682230833,19,22,3160,11439,729,54,166.31578947368422,212.56876351989428,1514,60,519.9545454545455,592.9956674127121,1514,54,356.0731707317073,490.6365894822022,240724.262938727,380,440,20,9,2.33286935,45.086749,0.0,9.804464895614638,93.313926,45.08748,0.0,5.184107,14.10105822785685,93.30064800000001,45.106436,0.0,4.442888,13.197628039694411,7,9,0,0,0,3,0,16,39,0,0,1.1578947368421053,356.0731707317073,64240,65535,0,0,0,0,0,0,0,0,0,0,6911.0,7.0,0,56483.18417718932614114666340,166.31578947368422,519.9545454545455,0,19,22,3160,11439
10.0.2.15,23.51.34.159,49760,443,6,2024-05-20 02:34:26,104.102399,6772.034139194045,10.201494011679788,3.419709857022603,6.781784154657185,356,706,388590,316395,6439,54,1091.5449438202247,1872.8717166643253,1514,60,448.15155807365437,530.76211812699,6439,54,663.8276836158192,1206.3769689491833,1455345.3912110184,7120,14120,20,225,0.09811711875589066,9.689943,-0.000136,0.5952107834190661,104.102399,9.689943,0.0,0.2932461943661972,1.002437613848871,104.082574,9.754914,0.0,0.14763485673758864,0.7340451426335005,225,235,0,0,0,3,0,460,1060,0,0,1.9831460674157304,663.8276836158192,64240,65535,0,0,0,0,0,0,0,0,1739.0,6.0,3589.560606060606,7.393939393939394,2452750.352609308885754583921,20671.37761398112509023130363,1091.5449438202247,448.15155807365437,0,356,706,388590,316395
10.0.2.15,216.58.200.3,49763,443,6,2024-05-20 02:34:27,90.51972,126.53596365521236,0.3645614458374374,0.16570974810792607,0.1988516977295113,15,18,3053,8401,1043,54,203.53333333333333,276.6248643118611,1514,60,466.72222222222223,526.7594649843677,1514,54,347.09090909090907,450.89542990058595,203306.6887052342,300,360,20,9,2.8287412499999998,45.161692,0.0,10.921182427158794,90.515532,45.163781,0.0,6.465395142857143,15.783781611907933,90.504734,45.162231,0.0,5.323807882352941,14.534673411570132,7,6,0,0,0,3,0,13,31,0,0,1.2,347.09090909090907,64240,65535,0,0,0,0,0,0,0,0,0,0,3190.0,4.5,0,30123.75290968067877597465450,203.53333333333333,466.72222222222223,0,15,18,3053,8401
10.0.2.15,162.247.243.29,49765,443,6,2024-05-20 02:34:27,108.591551,217.38339477258228,0.5709468133483055,0.2762645871040188,0.29468222624428675,30,32,11649,11957,850,54,388.3,354.55240797377195,1514,60,373.65625,412.21707034757486,1514,54,380.741935483871,385.46318745968006,148581.86888657644,600,640,20,15,1.780189360655737,23.33198,0.0,4.657463686849655,108.591551,23.33198,0.0,3.7445362413793104,6.186783323371065,108.538655,23.573499,0.0,3.5012469354838713,6.12281002497281,15,14,0,0,0,3,0,29,60,0,0,1.0666666666666667,380.741935483871,64240,65535,0,0,0,0,0,0,0,0,0,0,4263.0,4.0,0,211531.7818687044112539076068,388.3,373.65625,0,30,32,11649,11957
10.0.2.15,104.101.28.155,49766,443,6,2024-05-20 02:34:27,90.740388,192.74768805264532,0.39673623612894404,0.15428631405014492,0.24244992207879915,14,22,11633,5857,9786,54,830.9285714285714,2488.547552985353,1514,60,266.22727272727275,414.5458557613688,9786,54,485.8333333333333,1609.0808884439446,2589141.305555554,280,440,20,8,2.5925825142857146,45.008739,0.0,10.440550888267133,90.739607,45.013895,0.0,6.979969769230769,16.21419252667859,90.725915,45.15852,0.0,4.320281666666667,13.225968289123527,6,6,0,0,0,3,0,12,34,0,0,1.5714285714285714,485.8333333333333,64240,65535,0,0,0,0,0,0,0,0,0,0,2181.0,7.0,0,151684.8071773828980769899503,830.9285714285714,266.22727272727275,0,14,22,11633,5857
10.0.2.15,115.164.13.42,49767,443,6,2024-05-20 02:34:27,90.676492,77.84818142281023,0.24262076658192733,0.12131038329096366,0.12131038329096366,11,11,1815,5244,652,54,165.0,212.35733178686428,1514,60,476.72727272727275,537.6644933766935,1514,54,320.8636363636364,437.4732506580515,191382.84504132232,220,220,20,5,4.317928190476191,45.000784,0.0,13.197610060404322,90.675923,45.004144,0.0,9.0675923,17.96481405465374,90.66077,45.168435,0.0,9.066077000000002,18.009643302667293,3,4,0,0,0,3,0,7,20,0,0,1.0,320.8636363636364,64240,65535,0,0,0,0,0,0,0,0,0,0,3726.0,4.0,0,71032.31341149556762939662568,165.0,476.72727272727275,0,11,11,1815,5244
