src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,53800,53,17,2024-05-19 12:50:08,0.0,0,0,0,0,2,0,154,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,2,0,154,0
10.0.2.15,192.168.10.1,63743,53,17,2024-05-19 12:50:08,0.0,0,0,0,0,2,0,172,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,2,0,172,0
10.0.2.15,192.168.10.2,53800,53,17,2024-05-19 12:50:09,0.0,0,0,0,0,2,0,154,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,2,0,154,0
10.0.2.15,192.168.10.2,63743,53,17,2024-05-19 12:50:09,0.0,0,0,0,0,2,0,172,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,2,0,172,0
10.0.2.15,1.1.1.1,53800,53,17,2024-05-19 12:50:10,0.018937,15894.80910387073,158.4200242910704,105.61334952738027,52.80667476369013,2,1,154,147,77,77,77.0,0.0,147,147,147.0,0.0,147,77,100.33333333333333,32.99831645537222,1088.888888888889,40,20,20,2,0.0094685,0.018937,0.0,0.0094685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,100.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,147.0,0,2,1,154,147
10.0.2.15,1.1.1.1,63743,53,17,2024-05-19 12:50:10,0.036798,9348.334148595033,81.52616990053808,54.35077993369205,27.175389966846026,2,1,172,172,86,86,86.0,0.0,172,172,172.0,0.0,172,86,114.66666666666667,40.54078878802872,1643.5555555555554,40,20,20,2,0.018399,0.036798,0.0,0.018399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,114.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,172.0,0,2,1,172,172
10.0.2.15,1.1.1.1,56215,53,17,2024-05-19 12:50:10,48.824675,92.37132658845144,0.7168506497995123,0.3686660484683206,0.34818460133119167,18,17,1448,3062,97,69,80.44444444444444,8.361434102288529,244,90,180.11764705882354,36.45929616458071,244,69,128.85714285714286,56.24291338579865,3163.265306122449,360,340,20,18,1.4360198529411767,24.84944,0.0,4.583580420567741,48.569196,24.857609,0.0,2.8570115294117646,6.167406307966937,48.814617999999996,24.859301,0.025776,3.0509136249999997,6.308149959220678,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,128.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.44444444444444,180.11764705882354,0,18,17,1448,3062
10.0.2.15,23.51.34.159,49708,443,6,2024-05-19 12:50:10,6.206666,2959.0765799222963,7.411386402941611,3.3834590100385618,4.02792739290305,21,25,7541,10825,1157,54,359.0952380952381,378.12443212228493,1514,60,433.0,505.93525277450277,1514,54,399.2608695652174,453.588083329329,205742.1493383743,420,500,20,10,0.1379259111111111,4.253042,0.0,0.6286102832793347,6.206665999999999,4.253042,0.0,0.31033330000000003,0.9160593658075933,6.197485,4.298701,0.0,0.2582285416666667,0.8540097906785564,10,9,0,0,2,3,1,19,44,0,0,1.1904761904761905,399.2608695652174,64240,65535,0,0,0,0,0,0,0,0,0,0,3438.5,6.0,0,21648.11503689339948122591856,359.0952380952381,433.0,0,21,25,7541,10825
10.0.2.15,23.51.34.159,49709,443,6,2024-05-19 12:50:11,0.074604,123290.97635515522,294.8903544045896,134.04107018390434,160.8492842206852,10,12,1471,7727,571,54,147.1,168.3451514003299,1514,60,643.9166666666666,590.8827377087794,1514,54,418.09090909090907,514.3149821135354,264519.90082644625,200,240,20,3,0.0035525714285714292,0.017342,0.0,0.004992200245634884,0.074604,0.017342,0.0,0.008289333333333333,0.005508059730976054,0.065982,0.018661,0.0,0.005998363636363638,0.0059319625492707225,3,5,0,0,0,3,0,8,20,0,0,1.2,418.09090909090907,64240,65535,0,0,0,0,0,0,0,0,0,0,6220.0,7.0,0,379291.4202085493017866943106,147.1,643.9166666666666,0,10,12,1471,7727
10.0.2.15,34.128.128.0,49710,443,6,2024-05-19 12:50:11,52.636014,258.26423710579604,0.6079487705888975,0.2659775871326427,0.3419711834562549,14,18,4384,9210,609,54,313.14285714285717,256.49223244792904,1514,60,511.6666666666667,597.4413964751875,1514,54,424.8125,489.1400258042169,239257.96484375,280,360,20,7,1.697935935483871,45.687651,0.0,8.120463555152803,52.636014,45.687651,0.0,4.048924153846154,12.15430746422517,52.625491,45.688511,0.0,3.0956171176470586,10.766910685419612,7,6,0,0,0,3,0,13,30,0,0,1.2857142857142858,424.8125,64240,65535,0,0,0,0,0,0,0,0,0,0,2594.5,4.0,0,133448.2049171895895484003703,313.14285714285717,511.6666666666667,0,14,18,4384,9210
