src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,63873,53,17,2024-05-21 01:13:56,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.1,53555,53,17,2024-05-21 01:13:56,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.1,53748,53,17,2024-05-21 01:13:56,0.0,0,0,0,0,2,0,138,0,69,69,69.0,0.0,0,0,0,0.0,69,69,69.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,2,0,138,0
10.0.2.15,192.168.10.1,51645,53,17,2024-05-21 01:13:56,0.0,0,0,0,0,2,0,138,0,69,69,69.0,0.0,0,0,0,0.0,69,69,69.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,2,0,138,0
10.0.2.15,192.168.10.2,55677,53,17,2024-05-21 01:13:57,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.2,62765,53,17,2024-05-21 01:13:57,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.2,54547,53,17,2024-05-21 01:13:57,0.0,0,0,0,0,2,0,138,0,69,69,69.0,0.0,0,0,0,0.0,69,69,69.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,2,0,138,0
10.0.2.15,192.168.10.2,55314,53,17,2024-05-21 01:13:57,0.0,0,0,0,0,2,0,138,0,69,69,69.0,0.0,0,0,0,0.0,69,69,69.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,2,0,138,0
10.0.2.15,192.168.160.42,63953,53,17,2024-05-21 01:13:58,0.114669,2467.973035432419,26.162258326138716,17.441505550759143,8.720752775379571,2,1,146,137,73,73,73.0,0.0,137,137,137.0,0.0,137,73,94.33333333333333,30.169889330626027,910.2222222222222,40,20,20,2,0.0573345,0.114669,0.0,0.0573345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,94.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,137.0,0,2,1,146,137
10.0.2.15,192.168.160.42,49208,53,17,2024-05-21 01:13:58,0.113488,2652.2627943042435,26.434512900042293,17.623008600028196,8.811504300014098,2,1,146,155,73,73,73.0,0.0,155,155,155.0,0.0,155,73,100.33333333333333,38.655170704864595,1494.222222222222,40,20,20,2,0.056744,0.113488,0.0,0.056744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,100.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,155.0,0,2,1,146,155
10.0.2.15,192.168.160.42,62168,53,17,2024-05-21 01:13:58,0.111921,2278.3927949178437,26.804621116680515,17.869747411120343,8.934873705560172,2,1,138,117,69,69,69.0,0.0,117,117,117.0,0.0,117,69,85.0,22.627416997969522,512.0,40,20,20,2,0.0559605,0.111921,0.0,0.0559605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,117.0,0,2,1,138,117
10.0.2.15,192.168.160.42,62235,53,17,2024-05-21 01:13:58,0.110664,2611.5087110532786,27.109086965950986,18.072724643967323,9.036362321983662,2,1,138,151,69,69,69.0,0.0,151,151,151.0,0.0,151,69,96.33333333333333,38.655170704864595,1494.222222222222,40,20,20,2,0.055332,0.110664,0.0,0.055332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,96.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,151.0,0,2,1,138,151
10.0.2.15,52.192.46.121,49736,443,6,2024-05-21 01:13:58,2.503872,7529.13886971858,15.17649464509368,6.390103008460497,8.786391636633184,16,22,3995,14857,1873,54,249.6875,441.74734276931423,1514,60,675.3181818181819,625.4927792885773,1873,54,496.10526315789474,593.9981742606038,352833.8310249307,320,440,20,7,0.06767221621621622,1.460812,0.0,0.24298336335110007,2.503872,1.460812,0.0,0.1669248,0.36497297213450386,2.358314,1.46916,0.0,0.11230066666666667,0.31665657187248103,7,7,0,0,0,3,0,14,36,0,0,1.375,496.10526315789474,64240,65535,0,0,0,0,0,0,0,0,0,0,6396.5,7.0,0,42255.28892999289854833115886,249.6875,675.3181818181819,0,16,22,3995,14857
10.0.2.15,65.2.117.88,49737,443,6,2024-05-21 01:13:58,3.910002,2653.7070825027713,7.161121656715265,3.3248064834749447,3.8363151732403207,13,15,3402,6974,1805,54,261.6923076923077,463.3992106190588,1514,60,464.93333333333334,520.4298821380477,1805,54,370.57142857142856,505.04550209230996,255070.95918367346,260,300,20,6,0.14481488888888888,2.813689,0.0,0.5312522145526886,3.910002,2.813689,0.0,0.3258335,0.761817019000462,3.790693,2.859443,0.0,0.2707637857142857,0.7275060056431718,6,5,0,0,0,3,0,11,26,0,0,1.1538461538461537,370.57142857142856,64240,65535,0,0,0,0,0,0,0,0,0,0,4455.0,6.0,0,32424.52473143322949721971528,261.6923076923077,464.93333333333334,0,13,15,3402,6974
10.0.2.15,192.168.160.42,49311,53,17,2024-05-21 01:13:59,0.072746,4605.064195969538,41.23938085942869,27.492920572952464,13.746460286476232,2,1,152,183,76,76,76.0,0.0,183,183,183.0,0.0,183,76,111.66666666666667,50.44028372464039,2544.222222222222,40,20,20,2,0.036373,0.072746,0.0,0.036373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,111.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,183.0,0,2,1,152,183
10.0.2.15,192.168.160.42,53822,53,17,2024-05-21 01:13:59,0.171248,2037.9800056059048,17.51845277025133,11.678968513500887,5.839484256750444,2,1,152,197,76,76,76.0,0.0,197,197,197.0,0.0,197,76,116.33333333333333,57.03994701571484,3253.555555555556,40,20,20,2,0.085624,0.171248,0.0,0.085624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,116.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,197.0,0,2,1,152,197
10.0.2.15,18.161.180.117,49738,443,6,2024-05-21 01:13:59,0.923586,1662919.3166635267,1372.9095070735157,162.4104306474979,1210.4990764260176,150,1118,10815,1525034,1876,54,72.1,153.45452095001957,1514,60,1364.0733452593918,312.18651250790833,1876,54,1211.23738170347,512.6578094714563,262818.029612072,3000,22360,20,7,0.0007289550118389896,0.14489,0.0,0.0060166577367161125,0.923586,0.14519,0.0,0.006198563758389262,0.016773313122086898,0.874541,0.14563,0.0,0.0007829373321396598,0.006757973217644238,7,302,0,0,0,3,0,309,1266,0,0,7.453333333333333,1211.23738170347,64240,65535,0,0,0,0,0,0,0,0,0,0,488212.6666666667,371.3333333333333,0,1691137.059834862660741028119,72.1,1364.0733452593918,0,150,1118,10815,1525034
10.0.2.15,65.2.117.88,49739,443,6,2024-05-21 01:14:00,0.764906,12602.855775742379,31.376404420935383,14.380852026262051,16.995552394673332,11,13,3054,6586,1869,54,277.6363636363636,517.5330068924497,1514,60,506.61538461538464,553.0575903329164,1869,54,401.6666666666667,549.0519607064122,301458.0555555555,220,260,20,5,0.03325678260869565,0.321707,0.0,0.0761983473088814,0.764906,0.375045,0.0,0.0764906,0.11637912551243887,0.611896,0.321707,0.0,0.05099133333333333,0.09787782569555216,5,4,0,0,0,3,0,9,22,0,0,1.1818181818181819,401.6666666666667,64240,65535,0,0,0,0,0,0,0,0,0,0,4455.0,6.0,0,24747.52524747525247475252475,277.6363636363636,506.61538461538464,0,11,13,3054,6586
10.0.2.15,239.255.255.250,56978,1900,17,2024-05-21 01:14:09,3.056318,353.3663709077393,1.6359554208691633,1.6359554208691633,0.0,5,0,1080,0,216,216,216.0,0.0,0,0,0,0.0,216,216,216.0,0.0,0.0,100,0,20,5,0.7640795,1.050208,0.0,0.4415613241060068,3.056318,1.050208,0.0,0.7640795,0.4415613241060068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0,0,0,5,0,1080,0
10.0.2.15,192.168.10.1,50209,53,17,2024-05-21 01:14:09,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.1,52517,53,17,2024-05-21 01:14:09,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.1,50260,53,17,2024-05-21 01:14:09,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.1,57488,53,17,2024-05-21 01:14:09,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.1,55215,53,17,2024-05-21 01:14:10,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.10.1,53627,53,17,2024-05-21 01:14:10,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.10.2,55683,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.2,51029,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.2,53073,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.2,51416,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,146,0,73,73,73.0,0.0,0,0,0,0.0,73,73,73.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,2,0,146,0
10.0.2.15,192.168.10.2,63393,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.10.2,63627,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.10.2,52236,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,148,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,2,0,148,0
10.0.2.15,192.168.10.2,50365,53,17,2024-05-21 01:14:11,0.0,0,0,0,0,2,0,148,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,2,0,148,0
10.0.2.15,192.168.160.42,60395,53,17,2024-05-21 01:14:12,0.057689,4905.614588569745,52.00298150427292,34.668654336181945,17.334327168090972,2,1,178,105,89,89,89.0,0.0,105,105,105.0,0.0,105,89,94.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0288445,0.057689,0.0,0.0288445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,94.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,105.0,0,2,1,178,105
10.0.2.15,192.168.160.42,51236,53,17,2024-05-21 01:14:12,0.057235,5660.871844151306,52.41548003843802,34.94365335895868,17.47182667947934,2,1,178,146,89,89,89.0,0.0,146,146,146.0,0.0,146,89,108.0,26.870057685088806,722.0,40,20,20,2,0.0286175,0.057235,0.0,0.0286175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,146.0,0,2,1,178,146
10.0.2.15,192.168.160.42,65472,53,17,2024-05-21 01:14:12,0.040341,7015.195458714459,74.36602959767977,49.57735306511985,24.788676532559926,2,1,146,137,73,73,73.0,0.0,137,137,137.0,0.0,137,73,94.33333333333333,30.169889330626027,910.2222222222222,40,20,20,2,0.0201705,0.040341,0.0,0.0201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,94.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,137.0,0,2,1,146,137
10.0.2.15,192.168.160.42,54477,53,17,2024-05-21 01:14:12,0.158232,1902.2700844329843,18.959502502654328,12.639668335102886,6.319834167551443,2,1,146,155,73,73,73.0,0.0,155,155,155.0,0.0,155,73,100.33333333333333,38.655170704864595,1494.222222222222,40,20,20,2,0.079116,0.158232,0.0,0.079116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,100.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,155.0,0,2,1,146,155
10.0.2.15,172.217.25.195,49740,443,6,2024-05-21 01:14:12,10.365809,1231.645306217778,3.2800141310726447,1.4470650578261668,1.832949073246478,15,19,3209,9558,1825,54,213.93333333333334,440.06779275723216,1514,60,503.05263157894734,606.4016797716814,1825,54,375.5,558.156432320883,311538.60294117645,300,380,20,6,0.3141154242424242,9.812462,0.0,1.6794137232780035,10.365808999999999,9.812971,0.0,0.7404149285714287,2.516610515127141,10.289560999999999,9.812935,0.0,0.5716422777777778,2.2418575241529015,6,6,0,0,2,3,0,12,32,0,0,1.2666666666666666,375.5,64240,65535,0,0,0,0,0,0,0,0,0,0,3751.0,5.5,0,31371.00753539797104600690815,213.93333333333334,503.05263157894734,0,15,19,3209,9558
