src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,60652,53,17,2024-05-21 02:23:28,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,192.168.10.1,58878,53,17,2024-05-21 02:23:28,0.0,0,0,0,0,2,0,160,0,80,80,80.0,0.0,0,0,0,0.0,80,80,80.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,2,0,160,0
10.0.2.15,192.168.10.2,60652,53,17,2024-05-21 02:23:29,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,192.168.10.2,58878,53,17,2024-05-21 02:23:29,0.0,0,0,0,0,2,0,160,0,80,80,80.0,0.0,0,0,0,0.0,80,80,80.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,2,0,160,0
10.0.2.15,192.168.160.42,60652,53,17,2024-05-21 02:23:30,0.082377,3338.310450732607,36.41793218981026,24.278621459873506,12.139310729936753,2,1,162,113,81,81,81.0,0.0,113,113,113.0,0.0,113,81,91.66666666666667,15.084944665313014,227.55555555555557,40,20,20,2,0.0411885,0.082377,0.0,0.0411885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,91.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,113.0,0,2,1,162,113
10.0.2.15,192.168.160.42,58878,53,17,2024-05-21 02:23:30,0.049764,5144.281006349972,60.28454304316373,40.189695362109155,20.094847681054578,2,1,160,96,80,80,80.0,0.0,96,96,96.0,0.0,96,80,85.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.024882,0.049764,0.0,0.024882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,85.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,96.0,0,2,1,160,96
10.0.2.15,192.168.160.42,60450,53,17,2024-05-21 02:23:31,28.942013,86.55237629808265,0.7601406301628018,0.41462216190698276,0.345518468255819,12,10,1038,1467,90,85,86.5,2.140872096444188,370,101,146.7,83.58833650695533,370,85,113.86363636363636,63.85088840739198,4076.935950413223,240,200,20,12,1.3781910952380951,9.072849,0.0,2.8073007379439523,28.911518,9.08859,0.0,2.628319818181818,3.4387326682456143,28.907927,9.084258,0.016744,3.2119918888888885,3.5474347302743348,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,113.86363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,146.7,0,12,10,1038,1467
10.0.2.15,115.164.13.36,49715,80,6,2024-05-21 02:23:31,30.425529,39.70350030725842,0.3944056321913088,0.2300699521115968,0.164335680079712,7,5,627,581,279,54,89.57142857142857,77.51102620707245,341,60,116.2,112.40000000000002,341,54,100.66666666666667,94.55715496754097,8941.055555555557,140,100,20,1,2.765957181818181,30.286195,0.0,8.702681329754554,30.425529,30.286195,0.0,5.0709215,11.276633287777292,30.411199,30.335302,0.011434,7.60279975,13.124625156259746,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,100.66666666666667,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.57142857142857,116.2,0,7,5,627,581
10.0.2.15,192.168.10.1,49473,53,17,2024-05-21 02:23:37,0.0,0,0,0,0,2,0,160,0,80,80,80.0,0.0,0,0,0,0.0,80,80,80.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,2,0,160,0
10.0.2.15,192.168.10.2,49473,53,17,2024-05-21 02:23:38,0.0,0,0,0,0,2,0,160,0,80,80,80.0,0.0,0,0,0,0.0,80,80,80.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,2,0,160,0
