src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,61401,53,17,2024-05-21 06:17:22,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,192.168.10.1,51621,53,17,2024-05-21 06:17:22,0.0,0,0,0,0,2,0,160,0,80,80,80.0,0.0,0,0,0,0.0,80,80,80.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,2,0,160,0
10.0.2.15,192.168.10.2,61401,53,17,2024-05-21 06:17:23,0.30335,2235.042030657656,9.889566507334761,6.593044338223175,3.2965221691115874,2,1,162,516,81,81,81.0,0.0,516,516,516.0,0.0,516,81,226.0,205.0609665440988,42050.0,40,20,20,2,0.151675,0.30335,0.0,0.151675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,516.0,0,2,1,162,516
10.0.2.15,192.168.10.2,51621,53,17,2024-05-21 06:17:23,1.209353,611.0705476399364,3.3075537084705626,2.480665281352922,0.8268884271176407,3,1,240,499,80,80,80.0,0.0,499,499,499.0,0.0,499,80,184.75,181.43232209283988,32917.6875,60,20,20,3,0.40311766666666665,1.017223,0.0,0.4412652298005009,1.017223,1.017223,0.0,0.5086115,0.5086115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,184.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,499.0,0,3,1,240,499
10.0.2.15,23.209.46.32,49719,80,6,2024-05-21 06:17:23,30.365374,39.78215450269113,0.3951869652585211,0.23052572973413732,0.1646612355243838,7,5,627,581,279,54,89.57142857142857,77.51102620707245,341,60,116.2,112.40000000000002,341,54,100.66666666666667,94.55715496754097,8941.055555555557,140,100,20,1,2.7604885454545456,30.060648,0.0,8.633197136214973,30.365374,30.060648,0.0,5.060895666666667,11.180384343603558,30.198891999999997,30.10748,0.011312,7.549722999999999,13.023738468641751,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,100.66666666666667,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.57142857142857,116.2,0,7,5,627,581
10.0.2.15,192.168.10.2,62195,53,17,2024-05-21 06:17:24,0.198549,5227.928622153725,20.146160393655975,15.10962029524198,5.036540098413994,3,1,268,770,90,89,89.33333333333333,0.4714045207910317,770,770,770.0,0.0,770,89,259.5,294.7375951588124,86870.25,60,20,20,3,0.06618299999999999,0.190153,0.0,0.08772701552353565,0.198549,0.198549,0.0,0.0992745,0.0992745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,259.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.33333333333333,770.0,0,3,1,268,770
10.0.2.15,192.168.10.1,62195,53,17,2024-05-21 06:17:26,0.172812,4131.657523783071,17.35990556211374,11.573270374742496,5.786635187371248,2,1,180,534,90,90,90.0,0.0,534,534,534.0,0.0,534,90,238.0,209.30360723121808,43808.0,40,20,20,2,0.086406,0.172812,0.0,0.086406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,534.0,0,2,1,180,534
10.0.2.15,23.73.13.230,49716,80,6,2024-05-21 06:17:30,0.025787,10935.742816147671,193.89614922247642,116.33768953348586,77.55845968899057,3,2,162,120,54,54,54.0,0.0,60,60,60.0,0.0,60,54,56.4,2.9393876913398134,8.639999999999999,60,40,20,0,0.006446749999999999,0.025036,0.0,0.01073599546793403,0.025787,0.025787,0.0,0.0128935,0.0128935,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0.6666666666666666,56.4,63977,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,60.0,0,3,2,162,120
10.0.2.15,23.44.236.184,49683,80,6,2024-05-21 06:17:30,0.088755,3177.285786716241,56.334854374401445,33.800912624640866,22.533941749760576,3,2,162,120,54,54,54.0,0.0,60,60,60.0,0.0,60,54,56.4,2.9393876913398134,8.639999999999999,60,40,20,0,0.02218875,0.0882,0.0,0.03811214513363817,0.088755,0.088755,0.0,0.0443775,0.0443775,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0.6666666666666666,56.4,63706,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,60.0,0,3,2,162,120
10.0.2.15,192.168.10.1,58710,53,17,2024-05-21 06:17:36,5.07236,278.9628496400098,1.3800282314346775,0.9857344510247695,0.3942937804099078,5,2,415,1000,85,80,83.0,2.449489742783178,501,499,500.0,1.0,501,80,202.14285714285714,188.39353080448277,35492.12244897959,100,40,20,5,0.8453933333333333,2.026155,0.0,0.8514992332094152,4.880719,2.026155,0.0,1.22017975,0.851466868305918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,202.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,500.0,0,5,2,415,1000
