src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,54543,53,17,2024-05-27 13:19:56,0.0,0,0,0,0,2,0,192,0,96,96,96.0,0.0,0,0,0,0.0,96,96,96.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,0,2,0,192,0
10.0.2.15,192.168.10.2,54543,53,17,2024-05-27 13:19:57,0.0,0,0,0,0,2,0,192,0,96,96,96.0,0.0,0,0,0,0.0,96,96,96.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,0,2,0,192,0
10.0.2.15,192.168.200.1,54543,53,17,2024-05-27 13:19:58,0.020581,20212.81764734464,145.76551187988923,97.17700791992615,48.58850395996308,2,1,192,224,96,96,96.0,0.0,224,224,224.0,0.0,224,96,138.66666666666666,60.339778661252055,3640.8888888888887,40,20,20,2,0.0102905,0.020581,0.0,0.0102905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,138.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,224.0,0,2,1,192,224
10.0.2.15,192.168.200.1,55963,53,17,2024-05-27 13:19:59,0.519664,867.8684688567997,9.621601650297114,5.772960990178269,3.848640660118846,3,2,210,241,74,68,70.0,2.8284271247461903,173,68,120.5,52.5,173,68,90.2,41.465166103610386,1719.36,60,40,20,3,0.129916,0.503037,0.0,0.2154680500062596,0.507219,0.507219,0.0,0.2536095,0.2536095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,90.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,120.5,0,3,2,210,241
10.0.2.15,203.121.59.218,49694,443,6,2024-05-27 13:19:59,1.351369,2096605.7383290573,1550.7767131777014,126.59401740226133,1424.18269577544,172,1935,11068,2824448,577,54,64.28901734104046,65.1648664663539,1514,60,1457.661899897855,209.07788176454673,1514,54,1338.9126838235295,435.35167865929196,189995.0987654321,3680,40680,20,5,0.0006428672692673645,0.336573,-2.4e-05,0.010055106237819585,1.351369,0.336573,-2.2e-05,0.00790274269005848,0.034876625238676046,1.342269,0.385658,0.0,0.0006954761658031088,0.011411420610917666,5,243,0,0,0,3,0,255,2252,0,0,11.053191489361701,1337.5702333773668,64240,65535,0,0,0,0,0,0,0,0,0,0,970702.3333333334,694.6666666666666,0,5790593.812325637349548521285,64.28901734104046,1457.661899897855,0,172,1935,11068,2824448
10.0.2.15,203.121.59.233,49695,80,6,2024-05-27 13:20:00,0.080997,19741.471906366904,98.76909021321778,61.73068138326111,37.038408829956666,5,3,537,1062,297,54,107.4,94.95177723455207,942,60,354.0,415.77878733768995,942,54,199.875,291.0577423381828,84714.609375,100,60,20,1,0.011571000000000001,0.0632,0.0,0.021370060324802886,0.080997,0.071959,0.0,0.02024925,0.030047288616237903,0.009379,0.008269,0.00111,0.0046895,0.0035795,1,1,0,0,0,3,0,2,6,0,0,0.6,199.875,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.4,354.0,0,5,3,537,1062
10.0.2.15,203.121.59.218,49696,443,6,2024-05-27 13:20:00,0.422787,836820.9050893239,794.7264225248174,151.37646143329854,643.3499610915188,64,272,4895,348902,577,54,76.484375,97.21335945156599,1514,60,1282.7279411764705,341.1470802978698,1514,54,1053.7418397626113,564.7818858231584,318978.5785539631,1280,5560,20,4,0.0012620507462686567,0.052615,0.0,0.005055008702809968,0.42278699999999997,0.064863,0.0,0.006710904761904762,0.01272290538062211,0.41154999999999997,0.052672,0.0,0.0015186346863468633,0.005649859120091228,4,118,0,0,0,3,0,123,344,0,0,4.303030303030303,1069.1857142857143,64240,65535,0,0,0,0,0,0,0,0,0,0,176798.5,141.5,0,1268855.365050202028176292011,76.484375,1282.7279411764705,0,64,272,4895,348902
10.0.2.15,203.121.59.218,49697,443,6,2024-05-27 13:20:00,0.369897,289085.8806640768,324.4146343441553,94.6209350170453,229.79369932711,35,85,3348,103584,577,54,95.65714285714286,129.64191184228366,1514,60,1215.093023255814,388.00532326445943,1514,54,891.2892561983471,608.7892501627759,370624.35111375496,720,1740,20,4,0.0031083781512605043,0.073775,0.0,0.010040355218189334,0.368213,0.073775,0.0,0.010829794117647057,0.017542012564428108,0.34319900000000003,0.07463,0.0,0.004085702380952382,0.011618270476956053,4,44,0,0,0,3,0,48,121,0,0,2.4166666666666665,887.9186991869918,64240,65535,0,0,0,0,0,0,0,0,0,0,50195.5,41.0,0,635120.7723356066453253704149,95.65714285714286,1215.093023255814,0,35,85,3348,103584
203.121.59.218,10.0.2.15,443,49694,6,2024-05-27 13:20:00,0.758719,4434730.117474321,3698.511021431691,3274.887241317352,423.6237801143391,2497,323,3353842,17496,1514,114,1340.2649742165806,311.64958454012645,54,54,54.0,0.0,1514,54,1192.3174931129477,504.0146338103705,254635.14571844018,51800,6760,20,2598,0.00026970778528261644,0.022207,-2.9e-05,0.000958372527309631,0.758275,0.026074,0.0,0.0003045281124497992,0.0011351272972387712,0.75854,0.022207,-2.9e-05,0.0023557142857142856,0.002082956898283418,805,0,0,0,0,0,0,809,2950,0,0,0.1312667432070417,1194.106877950101,65535,64240,0,0,0,0,0,0,0,0,3379665.0,2629.0,0,0,4198216.450689668879437134793,0,1340.2649742165806,54.0,0,2497,323,3353842,17496
203.121.59.218,10.0.2.15,443,49696,6,2024-05-27 13:20:00,0.802661,1926938.0224029822,1866.979864267201,1447.2519027875169,419.7279614796843,1162,337,1531108,18198,1514,114,1315.3801369863013,235.10825111519796,54,54,54.0,0.0,1514,54,1032.9441891004597,565.9789468895967,320222.89729223313,23760,6860,20,1188,0.0005368969899665553,0.019656,0.0,0.0010858065904804314,0.802661,0.019883,0.0,0.0006925461604831751,0.001335012259731273,0.801161,0.020366,0.000348,0.0023915253731343284,0.0015176129897538557,638,0,0,0,0,0,0,639,1540,0,0,0.2882205513784461,1032.8686084142396,65535,64240,0,0,0,0,0,0,0,0,1511692.0,1198.0,0,0,1833013.824370712850565597555,0,1315.3801369863013,54.0,0,1162,337,1531108,18198
