src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,53397,53,17,2024-05-21 00:51:07,4.26812,57.63661752715482,0.702885579599449,0.702885579599449,0.0,3,0,246,0,82,82,82.0,0.0,0,0,0,0.0,82,82,82.0,0.0,0.0,60,0,20,3,2.13406,4.26812,0.0,2.13406,4.26812,4.26812,0.0,2.13406,2.13406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,3,0,246,0
10.0.2.15,192.168.10.2,53397,53,17,2024-05-21 00:51:08,3.252152,75.64222090480395,0.9224661085951702,0.9224661085951702,0.0,3,0,246,0,82,82,82.0,0.0,0,0,0,0.0,82,82,82.0,0.0,0.0,60,0,20,3,1.626076,3.252152,0.0,1.626076,3.252152,3.252152,0.0,1.626076,1.626076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,3,0,246,0
10.0.2.15,192.168.160.42,53397,53,17,2024-05-21 00:51:09,2.105206,208.0556487108625,1.900051586400571,1.4250386898004281,0.47501289660014273,3,1,246,192,82,82,82.0,0.0,192,192,192.0,0.0,192,82,109.5,47.63139720814412,2268.75,60,20,20,3,0.7017353333333333,2.031506,0.0,0.9407711170259332,2.031506,2.031506,0.0,1.015753,1.015753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,192.0,0,3,1,246,192
10.0.2.15,192.168.10.1,61823,53,17,2024-05-21 00:51:09,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,192.168.10.1,53075,53,17,2024-05-21 00:51:09,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,224.0.0.251,5353,5353,17,2024-05-21 00:51:09,44.508734,94.29609927795296,0.4942850093197439,0.4942850093197439,0.0,22,0,4197,0,525,82,190.77272727272728,120.07495076681437,0,0,0,0.0,525,82,190.77272727272728,120.07495076681437,14417.993801652896,440,0,20,22,2.119463523809524,23.763764,0.0,5.072573282027505,44.508734,23.763764,0.0,2.119463523809524,5.072573282027505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,190.77272727272728,0,0,0,0,0,0,0,0,0,0,1561.0,11.0,0,0,1106.364822559919825759943640,0,190.77272727272728,0,0,22,0,4197,0
10.0.2.15,224.0.0.252,51514,5355,17,2024-05-21 00:51:09,0.420412,563.7327193324643,7.135857206740055,7.135857206740055,0.0,3,0,237,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,60,0,20,3,0.210206,0.420412,0.0,0.210206,0.420412,0.420412,0.0,0.210206,0.210206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,3,0,237,0
10.0.2.15,192.168.10.2,53417,53,17,2024-05-21 00:51:10,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,192.168.10.2,64420,53,17,2024-05-21 00:51:10,0.0,0,0,0,0,2,0,162,0,81,81,81.0,0.0,0,0,0,0.0,81,81,81.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,2,0,162,0
10.0.2.15,192.168.160.42,64189,53,17,2024-05-21 00:51:11,0.024722,16301.270123776392,121.34940538791359,80.8996035919424,40.4498017959712,2,1,162,241,81,81,81.0,0.0,241,241,241.0,0.0,241,81,134.33333333333334,75.42472332656506,5688.888888888888,40,20,20,2,0.012361,0.024722,0.0,0.012361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,134.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,241.0,0,2,1,162,241
10.0.2.15,192.168.160.42,57088,53,17,2024-05-21 00:51:11,0.024821,17324.04012731155,120.86539623705734,80.57693082470489,40.288465412352444,2,1,162,268,81,81,81.0,0.0,268,268,268.0,0.0,268,81,143.33333333333334,88.15264538792293,7770.88888888889,40,20,20,2,0.0124105,0.024821,0.0,0.0124105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,143.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,268.0,0,2,1,162,268
10.0.2.15,13.107.42.16,49717,443,6,2024-05-21 00:51:11,28.004361,427.6476795881899,1.2498053428178562,0.5713395852881628,0.6784657575296933,16,19,3700,8276,1785,54,231.25,422.360405933132,1514,60,435.57894736842104,518.22260161049,1785,54,342.1714285714286,487.5414406248259,237696.65632653065,320,380,20,6,0.8236576764705882,26.284882,0.0,4.435362073002077,28.004361,26.284882,0.0,1.8669574,6.530421981066866,27.948672000000002,26.339361,0.0,1.552704,6.016218297471557,6,7,0,0,2,3,0,13,33,0,0,1.1875,342.1714285714286,64240,65535,0,0,0,0,0,0,0,0,0,0,5932.0,7.0,0,86249.76372915364147898279948,231.25,435.57894736842104,0,16,19,3700,8276
10.0.2.15,144.208.222.183,49718,5938,6,2024-05-21 00:51:11,37.309717,3939.0006630176263,6.245021906759572,2.171016199345602,4.07400570741397,81,152,57055,89908,3279,54,704.3827160493827,886.9175580418922,1514,60,591.5,600.5408198580589,3279,54,630.7424892703863,715.2791782143086,511624.3027869366,1620,3040,20,52,0.16081771982758622,8.017167,-6e-06,0.7788608064737241,37.308823,8.017851,0.0,0.46636028749999997,1.2740837075458404,37.148612,8.017941,0.0,0.24601729801324504,0.9633077726582225,52,62,0,0,0,3,0,114,231,0,0,1.876543209876543,630.7424892703863,64240,65535,0,0,0,0,0,0,0,0,0,0,5275.083333333333,6.916666666666667,0,19101.42636818217343036583934,704.3827160493827,591.5,0,81,152,57055,89908
10.0.2.15,192.168.10.1,54592,53,17,2024-05-21 00:51:18,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
