src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.0.1,64262,53,17,2024-05-23 02:20:25,92.6891,53.90062046130559,0.3883951834681748,0.2049863468304256,0.1834088366377492,19,17,1535,3461,93,69,80.78947368421052,7.208028764534733,281,69,203.58823529411765,61.98961850800637,281,69,138.77777777777777,74.83504493629495,5600.283950617284,380,340,20,19,2.6482600000000005,35.978858,0.0,6.805462098241479,92.6891,36.331798,0.0,5.149394444444445,8.912805582702081,92.377028,36.041346,0.093344,5.773564249999999,9.204204629154644,0,0,0,0,0,0,0,0,0,0,0,0.8947368421052632,138.77777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.78947368421052,203.58823529411765,0,19,17,1535,3461
10.0.2.15,192.168.10.1,61614,53,17,2024-05-23 02:20:22,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.2,61614,53,17,2024-05-23 02:20:23,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.1,64617,53,17,2024-05-23 02:20:23,0.0,0,0,0,0,2,0,154,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,2,0,154,0
10.0.2.15,192.168.0.1,61614,53,17,2024-05-23 02:20:24,0.029604,11518.71368733955,101.33765707336848,67.55843804891231,33.779219024456154,2,1,156,185,78,78,78.0,0.0,185,185,185.0,0.0,185,78,113.66666666666667,50.44028372464039,2544.222222222222,40,20,20,2,0.014802,0.029604,0.0,0.014802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,113.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,185.0,0,2,1,156,185
10.0.2.15,18.164.174.59,49728,443,6,2024-05-23 02:20:24,17.383718,750.6449425836292,1.898328079183061,0.8628763996286641,1.0354516795543969,15,18,1426,11623,255,54,95.06666666666666,64.7986282433681,1514,60,645.7222222222222,643.6843434095763,1514,54,395.42424242424244,550.5319207602237,303085.3957759412,300,360,20,5,0.5432385625,15.949105,-8.4e-05,2.7686037918382693,17.383718,15.949105,0.0,1.2416941428571426,4.081017935668324,17.104563,15.949523,0.0,1.0061507647058823,3.7374106316540554,5,6,0,0,2,3,0,11,31,0,0,1.2,395.42424242424244,64240,65535,0,0,0,0,0,0,0,0,0,0,5190.5,6.0,0,17698.19471935378829337984203,95.06666666666666,645.7222222222222,0,15,18,1426,11623
10.0.2.15,192.168.10.2,64617,53,17,2024-05-23 02:20:24,0.0,0,0,0,0,2,0,154,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,2,0,154,0
10.0.2.15,192.168.0.1,64617,53,17,2024-05-23 02:20:25,0.018124,14511.145442507172,165.5263738689031,110.35091591260206,55.17545795630103,2,1,154,109,77,77,77.0,0.0,109,109,109.0,0.0,109,77,87.66666666666667,15.084944665313014,227.55555555555557,40,20,20,2,0.009062,0.018124,0.0,0.009062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,87.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,109.0,0,2,1,154,109
10.0.2.15,170.133.176.94,49729,443,6,2024-05-23 02:20:25,15.687844,896.4903016628671,2.039795908220403,0.8924107098464263,1.1473851983739767,14,18,1347,12717,254,54,96.21428571428571,62.79351487378359,1514,60,706.5,678.6162595884199,1514,54,439.5,593.6538343176097,352424.875,280,360,20,5,0.5060594838709678,15.106847,0.0,2.6662616723203376,15.687844,15.106847,0.0,1.2067572307692307,4.013439757918045,15.659797,15.164952,0.0,0.9211645294117646,3.5616105141263916,5,3,0,0,2,3,0,8,30,0,0,1.2857142857142858,439.5,64240,65535,0,0,0,0,0,0,0,0,0,0,10685.0,9.0,0,138056.2302961393353661687943,96.21428571428571,706.5,0,14,18,1347,12717
10.0.2.15,170.72.245.169,49730,443,6,2024-05-23 02:20:26,15.486925,893.0113628108872,2.3891121058570377,1.0331295592895298,1.3559825465675077,16,21,5206,8624,2548,54,325.375,622.4996862449009,1514,60,410.6666666666667,565.4772390967721,2548,54,373.7837837837838,592.3204544991802,350843.5208181154,320,420,20,8,0.43019236111111114,9.048002,0.0,1.6471561125709828,15.486925,9.048362,0.0,1.0324616666666668,2.4273799387774098,15.181842000000001,9.050895,0.0,0.7590920999999999,2.159730532954653,8,6,0,0,2,3,1,14,35,0,0,1.3125,373.7837837837838,64240,65535,0,0,0,0,0,0,0,0,0,0,6755.0,6.0,0,20681.46261263054120831177420,325.375,410.6666666666667,0,16,21,5206,8624
