src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,192.168.10.1,50253,53,17,2024-05-20 04:57:48,0.0,0,0,0,0,2,0,134,0,67,67,67.0,0.0,0,0,0,0.0,67,67,67.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0,0,2,0,134,0
10.0.2.15,144.195.28.213,18186,3478,17,2024-05-20 04:57:48,0.253109,2236.19073205615,27.656069124369346,15.803468071068197,11.852601053301148,4,3,344,222,86,86,86.0,0.0,74,74,74.0,0.0,86,74,80.85714285714286,5.938459911664721,35.265306122448976,80,60,20,4,0.04218483333333333,0.168264,0.0,0.05805327720986607,0.045425,0.022842,0.0,0.015141666666666666,0.010707297272836357,0.03942,0.03942,0.0,0.01971,0.01971,0,0,0,0,0,0,0,0,0,0,0,0.75,80.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,74.0,0,4,3,344,222
10.0.2.15,144.195.29.213,18186,3478,17,2024-05-20 04:57:48,0.246448,2296.6305265208075,28.403557748490552,16.230604427708887,12.172953320781666,4,3,344,222,86,86,86.0,0.0,74,74,74.0,0.0,86,74,80.85714285714286,5.938459911664721,35.265306122448976,80,60,20,4,0.04107466666666667,0.136821,0.0,0.04426083297780204,0.050034,0.026526,0.0,0.016678000000000002,0.011857314029745523,0.059593,0.037702,0.021891,0.0297965,0.0079055,0,0,0,0,0,0,0,0,0,0,0,0.75,80.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,74.0,0,4,3,344,222
10.0.2.15,144.195.29.213,18186,3479,17,2024-05-20 04:57:48,0.248288,2279.6107745843537,28.193066116767625,16.110323495295784,12.082742621471839,4,3,344,222,86,86,86.0,0.0,74,74,74.0,0.0,86,74,80.85714285714286,5.938459911664721,35.265306122448976,80,60,20,4,0.04138133333333333,0.162864,0.0,0.054940050108176,0.037939,0.019228,0.0,0.012646333333333334,0.00894479857546024,0.047485,0.026295,0.02119,0.0237425,0.002552499999999999,0,0,0,0,0,0,0,0,0,0,0,0.75,80.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,74.0,0,4,3,344,222
10.0.2.15,192.168.10.2,50253,53,17,2024-05-20 04:57:49,0.0,0,0,0,0,2,0,134,0,67,67,67.0,0.0,0,0,0,0.0,67,67,67.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0,0,2,0,134,0
10.0.2.15,192.168.160.42,50253,53,17,2024-05-20 04:57:50,0.033497,6478.192076902409,89.56025912768308,59.70683941845539,29.853419709227694,2,1,134,83,67,67,67.0,0.0,83,83,83.0,0.0,83,67,72.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0167485,0.033497,0.0,0.0167485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,72.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,83.0,0,2,1,134,83
10.0.2.15,170.114.52.2,49685,443,6,2024-05-20 04:57:50,60.253547,378.68310059821044,0.6638613325120927,0.26554453300483705,0.39831679950725557,16,24,8829,13988,2263,54,551.8125,723.7792497327828,1514,60,582.8333333333334,597.7137460542649,2263,54,570.425,651.2530570945521,424130.54437499994,320,480,20,7,1.5449627435897437,34.055694,0.0,6.541709834099625,60.253547,34.055694,0.0,4.016903133333334,10.066523463444605,60.240032,34.056538,0.0,2.6191318260869565,8.351921436693678,7,7,0,0,0,3,0,14,38,0,0,1.5,570.425,64240,65535,0,0,0,0,0,0,0,0,0,0,2722.5,4.5,0,8900.731102293021221991099269,551.8125,582.8333333333334,0,16,24,8829,13988
52.113.194.132,10.0.2.15,443,49683,6,2024-05-20 04:58:06,0.0,0,0,0,0,2,0,120,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,60.0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,2,0,120,0
10.0.2.15,224.0.0.251,5353,5353,17,2024-05-20 04:58:06,1.018274,393.8036324211362,4.91026973093686,4.91026973093686,0.0,5,0,401,0,85,77,80.2,3.919183588453085,0,0,0,0.0,85,77,80.2,3.919183588453085,15.36,100,0,20,5,0.2545685,0.997444,0.0,0.4289299817181704,1.018274,0.997444,0.0,0.2545685,0.4289299817181704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.2,0,0,0,0,0,0,0,0,0,0,156.0,4.0,0,0,153.2004156052300264958154681,0,80.2,0,0,5,0,401,0
10.0.2.15,192.168.10.1,62982,53,17,2024-05-20 04:58:07,0.0,0,0,0,0,2,0,184,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,2,0,184,0
