bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
54.0,54,314,8370,1514,54,1011.125,254.765730060592,0.0,381423.9150295593,1317.0103092783504,227,0.3195876288659793,485,0,0,3
394.0,54,54,5910,1810,60,349.51851851851853,490.0395321354754,567.7629787155904,3559.3040706263687,293.9166666666667,9,1.25,6,3,2,5
659.0909090909091,54,54,7250,374,60,421.2,112.2963451578121,611.3312529442989,37464.14355918259,130.44444444444446,8,1.2222222222222223,3,3,0,8
347.52941176470586,54,54,5908,1442,60,297.9032258064516,375.5475254578986,501.5043390401768,6434.490821705729,237.6428571428572,12,1.2142857142857142,6,3,2,7
92.53333333333332,54,60,1388,283,54,103.93548387096774,60.518463091853214,86.57087013283139,58.46591747305297,114.625,16,0.9375,16,0,0,2
99.0,74,74,99,74,99,82.33333333333333,0.0,0.0,14605.877830997577,74.0,0,0.5,2,0,0,7
1330.1156747694886,54,54,1578944,390,60,1073.92175066313,20.776144954330448,204.3477931950165,1685831.7677876856,55.73737373737374,686,3.93312101910828,3,0,0,6
0.0,60,60,0,60,0,60.0,0.0,0.0,9.649341715877304,60.0,0,0.0,4,0,4,4
122.0,54,54,244,461,60,244.0,191.8616399619499,62.0,1185.896002752834,325.3333333333333,3,0.6666666666666666,2,0,0,6
57.355,54,60,11417,1514,54,998.2971639950678,186.9310629737268,41.2757379390401,518068.8125745708,1310.3867768595042,435,0.3306320907617504,613,0,0,6
58.15486725663717,54,60,12927,1514,54,1273.916714531878,217.7247573729187,43.97100712356104,730056.545303319,1455.1613756613756,179,0.1491749174917492,1515,0,0,5
1475.1648535564857,54,54,1762822,490,60,1357.3075153374234,66.86584951599482,185.018426140721,204604.57366210409,65.20183486238533,76,10.963302752293576,3,0,0,7
0.0,66,66,0,66,0,66.0,0.0,0.0,87.11264159516446,66.0,0,0.0,0,4,0,9
54.0,54,201,324,1514,54,980.318181818182,413.26107346778986,0.0,64247.92364247328,1327.6875,3,0.375,16,0,0,8
60.0,54,54,120,427,60,114.71428571428572,145.47522125777982,0.0,21.553463608050343,136.6,1,0.4,1,3,0,9
734.0,80,80,734,80,734,243.5,0.0,0.0,75.39302484478829,80.0,0,0.3333333333333333,3,0,0,4
