flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,session_id,Label,Label_Name
20.043646,42.50723645787797,0.299346735618859,0.299346735618859,0.0,6,0,852,0,142,142,142.0,0.0,0,0,0.0,0.0,142,142,142.0,0.0,0.0,120,0,6,4.0087292,8.010197,0.0,2.831339545596423,20.043646,8.010197,0.0,4.0087292,2.831339545596423,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,142.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,6,0,852,0,Bittorent_4G_Nightime1,0,Bittorent
20.044461,42.50550813015127,0.2993345642968399,0.2993345642968399,0.0,6,0,852,0,142,142,142.0,0.0,0,0,0.0,0.0,142,142,142.0,0.0,0.0,120,0,6,4.0088922,8.010205,0.0,2.8313090627936326,20.044461,8.010205,0.0,4.0088922,2.8313090627936326,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,142.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,6,0,852,0,Bittorent_4G_Nightime1,0,Bittorent
20.516973,94.45837843623424,0.9260625336885708,0.9260625336885708,0.0,19,0,1938,0,102,102,102.0,0.0,0,0,0.0,0.0,102,102,102.0,0.0,0.0,380,0,19,1.1398318333333333,2.266209,0.0,0.6601212045571,20.516973,2.266209,0.0,1.1398318333333333,0.6601212045571,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,102.0,0,0,240.0,4.0,0.0,0.0,154.89702091077513,0.0,102.0,0.0,19,0,1938,0,Bittorent_4G_Nightime1,0,Bittorent
0.056399,4432.702707494814,53.192432489937765,35.46162165995851,17.730810829979255,2,1,156,94,78,78,78.0,0.0,94,94,94.0,0.0,94,78,83.33333333333333,7.542472332656507,56.88888888888889,40,20,2,0.0281995,0.056399,0.0,0.0281995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,83.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,94.0,2,1,156,94,Bittorent_4G_Nightime1,0,Bittorent
0.051552,5024.05338299193,58.19366852886406,38.79577901924271,19.39788950962136,2,1,162,97,81,81,81.0,0.0,97,97,97.0,0.0,97,81,86.33333333333333,7.542472332656507,56.88888888888889,40,20,2,0.025776,0.051552,0.0,0.025776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,86.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,97.0,2,1,162,97,Bittorent_4G_Nightime1,0,Bittorent
0.056798,4806.507271382795,52.81876122398676,35.21250748265784,17.60625374132892,2,1,150,123,75,75,75.0,0.0,123,123,123.0,0.0,123,75,91.0,22.62741699796952,512.0,40,20,2,0.028399,0.056798,0.0,0.028399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,91.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,123.0,2,1,150,123,Bittorent_4G_Nightime1,0,Bittorent
0.034311,7373.72854186704,87.43551630672378,58.29034420448252,29.14517210224126,2,1,158,95,79,79,79.0,0.0,95,95,95.0,0.0,95,79,84.33333333333333,7.542472332656507,56.88888888888889,40,20,2,0.0171555,0.034311,0.0,0.0171555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,84.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,95.0,2,1,158,95,Bittorent_4G_Nightime1,0,Bittorent
0.224957,36904.83070097841,88.90587979035993,40.00764590566197,48.898233884697966,9,11,1370,6932,571,54,152.22222222222223,176.08506642326017,1514,60,630.1818181818181,573.37451162265,1514,54,415.1,501.3082784076081,251309.99,180,220,3,0.0118398421052631,0.080038,0.0,0.0212640142896846,0.224957,0.081503,0.0,0.028119625,0.026078965671291,0.1917039999999999,0.080038,0.0,0.0191703999999999,0.0257128091666391,3,5,0,3,0,8,18,1.2222222222222223,415.1,64240,65535,0.0,0.0,4714.0,5.0,0.0,58393.61807551283,152.22222222222223,630.1818181818181,9,11,1370,6932,Bittorent_4G_Nightime1,0,Bittorent
0.059687,4657.630639837821,50.262201149329,33.50813409955267,16.754067049776335,2,1,164,114,82,82,82.0,0.0,114,114,114.0,0.0,114,82,92.66666666666669,15.084944665313014,227.5555555555556,40,20,2,0.0298435,0.059687,0.0,0.0298435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,92.66666666666669,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,114.0,2,1,164,114,Bittorent_4G_Nightime1,0,Bittorent
3.107709,72.40060121459248,0.9653413495279,0.9653413495279,0.0,3,0,225,0,75,75,75.0,0.0,0,0,0.0,0.0,75,75,75.0,0.0,0.0,60,0,3,1.5538545,3.107709,0.0,1.5538545,3.107709,3.107709,0.0,1.5538545,1.5538545,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,3,0,225,0,Bittorent_4G_Nightime1,0,Bittorent
