pkt_len_mean,fwd_pkt_len_mean,bwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_max,pkt_len_min,fwd_pkt_len_min,pkt_len_var,pkt_len_std,fwd_byts_b_avg,flow_byts_s,flow_pkts_s,init_bwd_win_byts,init_fwd_win_byts,fwd_psh_flags,psh_flag_cnt,Label
135.81702,86.78404,17.955236,136.6637,52.39033,109.13747,143.39565,171.42099,14.917128,3.921918,43.790123,2.7872477,1228.6581,4.3933926,9.657404,1.3637861,4
88.46576,93.988815,322.7284,148.3848,855.7847,91.052704,88.75731,115.160286,363.62903,0.5198053,1289.5892,1.4586428,0.07735548,1085.98,2.0246544,1.3654923,4
130.6981,254.01314,743.9549,149.50296,690.64777,97.775085,86.278305,2773.1514,100.23384,0.09983016,46927.125,51.142094,15658.029,4.2705135,19.95309,1.3525894,4
182.84898,102.53357,66.282196,186.62122,297.96283,66.42374,72.941986,34160.293,66.04652,1.9341724,2582.99,5.9176826,6.102379,12.872895,12.017367,1.3564276,4
133.80246,117.16578,280.48148,180.22191,401.99158,55.855885,62.62795,4308.487,220.23453,3.1419973,8074.1426,5.583083,0.083016396,41.518406,11.474138,1.3509295,4
95.76854,71.36129,1045.4341,127.23117,411.9661,67.76762,58.02578,74325.21,6.496134,0.17240286,52.27217,75.091194,192.1285,19.70468,26.579563,1.3476403,4
171.44293,90.417694,44.197773,176.03244,60.80683,97.910126,106.966896,77808.16,17.33178,2.8763344,26.79197,12.40237,0.18035483,18.308935,9.156799,1.3482113,4
281.89755,121.7953,271.20047,122.764595,5.417893,69.60652,127.15469,75984.984,25.851645,0.45867598,1007.43256,38.58203,87.471405,4.356271,18.019733,1.3542091,4
97.197174,112.26359,2.5681016,153.59549,83.43872,64.412735,58.892067,5763.41,10.549921,0.5313743,65.67633,14.075737,0.05655413,13772.351,2.2237618,1.3492262,4
559.1351,93.27765,697.9536,282.7269,118.65689,62.814022,50.22685,10004.687,11.287865,0.73531985,164.13359,70.788315,0.061953403,8.224878,1.1395824,1.3501974,4
175.50377,249.2895,761.3563,409.9038,159.03625,67.38953,66.23374,388.0365,274.00266,0.2875216,13926.947,1.4790577,2.3360846,10.7885,14.549008,1.3667814,4
