label,hidden,params,seed,best_epoch,std_w1,corr_dist,score
4,4,148,46,85,0.1914,0.218,0.4094
4,8,280,46,40,0.1732,0.2779,0.4511
4,16,544,46,90,0.2621,0.2725,0.5346
4,32,1072,46,70,0.2661,0.3665,0.6327
4,64,2128,46,100,0.3008,0.3168,0.6176
7,4,148,49,70,0.1701,0.2191,0.3892
7,4,148,50,65,0.1838,0.2577,0.4415
7,8,280,49,45,0.2292,0.1909,0.4201
7,8,280,50,50,0.2721,0.2513,0.5234
7,16,544,49,95,0.2954,0.2807,0.5761
7,16,544,50,75,0.2611,0.3303,0.5914
7,32,1072,49,75,0.2623,0.3653,0.6276
7,32,1072,50,20,0.4549,0.242,0.6969
7,64,2128,49,50,0.4887,0.2634,0.7521
7,64,2128,50,40,0.4101,0.2643,0.6743
8,4,148,50,15,0.2035,0.2684,0.472
8,4,148,51,35,0.2552,0.2607,0.516
8,8,280,50,95,0.1581,0.2385,0.3965
8,8,280,51,30,0.2553,0.228,0.4833
8,16,544,50,30,0.2836,0.3137,0.5973
8,16,544,51,100,0.2159,0.1826,0.3985
8,32,1072,50,100,0.1751,0.2161,0.3912
8,32,1072,51,90,0.2172,0.2351,0.4523
8,64,2128,50,95,0.1599,0.2299,0.3899
8,64,2128,51,55,0.2988,0.2767,0.5754
9,4,148,51,30,0.1866,0.2319,0.4185
9,4,148,52,35,0.2219,0.2249,0.4468
9,8,280,51,85,0.1818,0.1803,0.3622
9,8,280,52,65,0.2619,0.194,0.4559
9,16,544,51,30,0.3474,0.2306,0.578
9,16,544,52,45,0.2711,0.1886,0.4597
9,32,1072,51,30,0.3377,0.2347,0.5724
9,32,1072,52,60,0.3549,0.2518,0.6067
9,64,2128,51,15,0.4645,0.2397,0.7042
9,64,2128,52,40,0.385,0.2678,0.6529
