Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.3813900271590659,0.2628444046469272
fwd_pkt_len_mean,0.36324721047760655,0.3143720109600844
bwd_pkt_len_mean,0.35317046216494913,0.25454212838187584
fwd_pkt_len_max,0.24052698336102796,0.2022680878547027
bwd_pkt_len_max,0.19158445775018654,0.19828385770126408
pkt_len_min,0.3735647211886339,0.45227671854180723
fwd_pkt_len_min,0.33861736838766576,0.5095139637395574
pkt_len_var,0.19309540580302195,0.19911737983228697
pkt_len_std,0.417888346579534,0.25922913018740734
fwd_byts_b_avg,0.22272806652922852,0.1599319758695811
flow_byts_s,0.2893722109471135,0.08002523739090263
flow_pkts_s,0.13500321423945238,0.07355745606306871
init_bwd_win_byts,0.4613521405287296,0.28519629772508276
init_fwd_win_byts,0.4712823442360031,0.31193608431082365
fwd_psh_flags,0.2136234838350235,0.2976643513052132
psh_flag_cnt,0.23901457349117444,0.2132195977383861
