condition,seed,accuracy,macro_precision,macro_recall,macro_f1,best_epoch,stopped_epoch,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
baseline,42,0.7383118920614998,0.4887576282133749,0.3973533306412375,0.40933385695678226,28,38,0.940815997419771,0.23104693140794225,0.21978021978021978,0.6697142857142857,0.22330097087378642,0.25,0.7346205657835654,0.10526315789473684,0.39152371342078707,0.32727272727272727
baseline,43,0.7267022278004392,0.4435695972036616,0.40034214532176665,0.40835076309631624,22,32,0.9354207436399217,0.17708333333333334,0.22439024390243903,0.6673996701484332,0.2627118644067797,0.26066350710900477,0.7416267942583732,0.15469613259668508,0.3755274261603376,0.283987915407855
baseline,44,0.7401945403200502,0.4730740080534307,0.4102501043015046,0.4202014546994276,30,40,0.9332483670543253,0.18505338078291814,0.2079207920792079,0.6730987514188422,0.2783882783882784,0.2870159453302961,0.7538167938931297,0.1232876712328767,0.4065934065934066,0.35359116022099446
baseline,45,0.7510197678067148,0.519918286678526,0.4345159269771729,0.4447372159494899,75,85,0.9470425289229265,0.2463768115942029,0.29545454545454547,0.6746724890829694,0.3819444444444444,0.2911694510739857,0.7392086330935251,0.072992700729927,0.4367015098722416,0.36180904522613067
baseline,46,0.7502353310323188,0.48707739830372276,0.42556785060356583,0.43521846559310956,66,76,0.9475564214969963,0.23768115942028986,0.27053140096618356,0.6748140276301806,0.31343283582089554,0.2932692307692308,0.7551020408163265,0.08695652173913043,0.4283965728274174,0.34444444444444444
baseline,47,0.7480389080640101,0.4971846768965523,0.42029756124315315,0.43219428432482837,60,70,0.9488553336580614,0.24372759856630824,0.2636363636363636,0.6648992576882291,0.2805755395683453,0.2814070351758794,0.7439080459770115,0.1232876712328767,0.42164599774520856,0.35
baseline,48,0.7428616253529966,0.4774079297397759,0.41512923740001983,0.42813195860547937,45,55,0.9295997468754944,0.2280130293159609,0.30526315789473685,0.704093567251462,0.3017543859649123,0.23563218390804597,0.7513176808816483,0.1,0.4037460978147763,0.32189973614775724
baseline,49,0.7602761217445874,0.5096447934647186,0.45200300959131956,0.46303683768059,99,100,0.9456662354463131,0.2602739726027397,0.29743589743589743,0.6885428253615128,0.39490445859872614,0.3012345679012346,0.7627737226277372,0.11764705882352941,0.45985401459854014,0.4020356234096692
baseline,50,0.7474113586444933,0.48202154170648737,0.4189272192811203,0.4330082018912173,59,69,0.9381690365873143,0.2364217252396166,0.28431372549019607,0.6860986547085202,0.31756756756756754,0.24861878453038674,0.7533425541724297,0.14634146341463414,0.4096109839816934,0.30959752321981426
baseline,51,0.7279573266394729,0.5025138253264552,0.3876261563893079,0.3944692515252128,19,29,0.933075310433801,0.19664268585131894,0.18666666666666668,0.6674259681093394,0.23574144486692014,0.20869565217391303,0.7404295051353875,0.11267605633802817,0.38650306748466257,0.2768361581920904
undersample,42,0.6915594603074993,0.4313249487078221,0.4211863623479026,0.40424048502830284,29,39,0.9147843942505134,0.21138211382113822,0.21666666666666667,0.67747972551466,0.28888888888888886,0.2549019607843137,0.7335824879871863,0.08333333333333333,0.38552321007081036,0.27586206896551724
undersample,43,0.7088170693442108,0.4264385035700163,0.4231035078044731,0.41259511866139287,33,43,0.9289433898874517,0.2222222222222222,0.1908713692946058,0.6982097186700768,0.2900763358778626,0.23015873015873015,0.7551779075942645,0.10050251256281408,0.3877551020408163,0.3220338983050847
undersample,44,0.7314088484468152,0.4744908074250377,0.4620571557618294,0.45360202393158844,87,97,0.935723951285521,0.25076452599388377,0.3004694835680751,0.7112462006079028,0.3835616438356164,0.32432432432432434,0.7661085743277524,0.10204081632653061,0.41352201257861637,0.3482587064676617
undersample,45,0.7139943520552243,0.44672512095831884,0.4417872614670433,0.4288062876316022,43,53,0.9286926994906621,0.22843822843822845,0.22672064777327935,0.7094682230869002,0.30597014925373134,0.2678260869565217,0.7562595809913132,0.1111111111111111,0.3990306946688207,0.35454545454545455
undersample,46,0.693755883275808,0.41242049336596953,0.4078001221869568,0.3945091149445636,16,26,0.9215454698835835,0.203125,0.18575851393188855,0.6763925729442971,0.26229508196721313,0.23868312757201646,0.7412441191845269,0.0875,0.36525612472160357,0.26329113924050634
undersample,47,0.721681832444305,0.46608625420364724,0.46374699344952736,0.44873693797193975,66,76,0.9299796057104011,0.219959266802444,0.2916666666666667,0.7040498442367601,0.33633633633633636,0.332,0.765253360910031,0.12903225806451613,0.41116751269035534,0.36792452830188677
undersample,48,0.7141512394101035,0.4462119930488111,0.4349448891102755,0.42515132730261956,38,48,0.9291285181417429,0.21026894865525672,0.27802690582959644,0.6892919836161499,0.297029702970297,0.2549450549450549,0.7581151832460733,0.12658227848101267,0.3902439024390244,0.31788079470198677
undersample,49,0.7241920301223721,0.4462642784929877,0.4633133351726995,0.4459405670646065,58,68,0.9305695989214695,0.25380710659898476,0.2537313432835821,0.723404255319149,0.33121019108280253,0.3527272727272727,0.7530364372469636,0.0903954802259887,0.3985239852398524,0.372
undersample,50,0.7197991841857546,0.45482538622191415,0.4499084761973946,0.43637190558349603,53,63,0.9327475498479216,0.23017902813299232,0.28193832599118945,0.7034482758620689,0.3026706231454006,0.27049180327868855,0.7635983263598326,0.11464968152866242,0.39456869009584666,0.36942675159235666
undersample,51,0.7323501725760904,0.4675373864156862,0.47028348843472073,0.4560179458012731,88,98,0.9378151260504202,0.23857868020304568,0.2938388625592417,0.7196495619524406,0.37388724035608306,0.33513513513513515,0.7743293003682272,0.1092896174863388,0.41201716738197425,0.3656387665198238
oversample,42,0.6844995293379353,0.43985153944130523,0.4917594546592235,0.4426185870008686,51,61,0.9097246427326595,0.25112107623318386,0.24242424242424243,0.6985915492957746,0.3412844036697248,0.2970639032815199,0.7378114842903575,0.171875,0.4119170984455959,0.3643724696356275
oversample,43,0.6846564166928145,0.4343954816828388,0.4890497727023506,0.4395917859684607,43,53,0.9144450252657257,0.251685393258427,0.2300469483568075,0.692141312184571,0.36259541984732824,0.3060869565217391,0.7282608695652174,0.17663817663817663,0.38401775804661487,0.35
oversample,44,0.6962660809538751,0.44706350622750746,0.4987901031070977,0.4538286013372209,88,98,0.922174288179465,0.2680851063829787,0.24415584415584415,0.7006194081211287,0.3581395348837209,0.29827315541601257,0.7318718381112985,0.19002375296912113,0.4112808460634548,0.41366223908918404
oversample,45,0.6844995293379353,0.4484842043080165,0.49212210378665777,0.4448554699298536,59,69,0.9090909090909091,0.2946859903381642,0.21212121212121213,0.7310344827586207,0.3660377358490566,0.2620967741935484,0.735632183908046,0.16051364365971107,0.3929024081115336,0.38443935926773454
oversample,46,0.6973642924380294,0.4471429063273254,0.49411829703078036,0.45182268756676225,79,89,0.9190591490833622,0.25386996904024767,0.25236593059936907,0.7015558698727016,0.4041237113402062,0.2815126050420168,0.7501343363782912,0.1725067385444744,0.39913232104121477,0.38396624472573837
