,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1
,mean,std,mean,std,mean,std,mean,std
condition,,,,,,,,
baseline,0.7433,0.0104,0.4881,0.0214,0.4162,0.0188,0.4269,0.0197
undersample,0.7152,0.014,0.4472,0.0196,0.4438,0.0215,0.4306,0.0214
oversample,0.6927,0.0071,0.4476,0.0062,0.4946,0.0061,0.4489,0.0059
smote,0.6949,0.0084,0.4436,0.01,0.4903,0.0133,0.4458,0.0121
qgan,0.7017,0.0077,0.4321,0.0101,0.4301,0.0096,0.4161,0.009
ctgan,0.7137,0.0047,0.4513,0.0217,0.437,0.0086,0.4236,0.0075
classical,0.7004,0.0065,0.4295,0.0085,0.4376,0.0076,0.423,0.0068
