category,epoch,d_loss,g_loss
4,1,-0.357758,1.327898
4,2,-2.132296,2.781454
4,3,-2.655369,2.681184
4,4,-2.072569,2.732615
4,5,-2.254,2.37801
4,6,-2.30967,1.901454
4,7,-2.05955,1.081433
4,8,-2.128366,2.10698
4,9,-1.681095,1.452525
4,10,-2.164061,2.265063
4,11,-2.160246,0.645278
4,12,-1.844545,0.685988
4,13,-2.149061,1.19517
4,14,-2.289578,1.545887
4,15,-2.399501,1.484572
4,16,-2.357626,1.991578
4,17,-2.606478,1.836364
4,18,-2.443386,1.169512
4,19,-2.599777,1.235605
4,20,-2.572347,1.053416
4,21,-2.6008,1.341971
4,22,-2.775082,1.153577
4,23,-2.532418,0.832569
4,24,-2.721606,1.168669
4,25,-2.718608,1.090485
4,26,-3.152954,1.495121
4,27,-3.076327,1.200301
4,28,-3.04725,0.705157
4,29,-2.73756,0.507135
4,30,-3.129626,1.234375
4,31,-3.069239,0.653915
4,32,-2.972377,1.083589
4,33,-3.136815,1.397802
4,34,-2.861448,1.258625
4,35,-2.966352,1.039923
4,36,-3.081374,1.161915
4,37,-2.931778,1.302528
4,38,-3.264019,0.864908
4,39,-3.207332,1.052278
4,40,-3.053753,0.820068
4,41,-3.163759,1.332275
4,42,-3.39609,1.171724
4,43,-2.84568,1.298625
4,44,-2.658214,1.003928
4,45,-2.944445,1.038224
4,46,-2.999162,0.782488
4,47,-2.969249,0.894299
4,48,-2.89975,0.535757
4,49,-2.953878,0.802191
4,50,-2.997978,1.046128
