generator,label,status,n_real,n_syn,js_quantile,std_w1,corr_mad,corr_frob,c2st_auc,dcr_ratio,copy_frac
qgan,1,ok,800,1200,0.2721,0.2634,0.2632,5.2245,0.9998,15.9088,0.0
qgan,2,ok,535,1465,0.3266,0.2947,0.2069,4.3138,0.9999,20.0669,0.0
qgan,4,ok,622,1378,0.3179,0.2873,0.2379,5.0292,0.9996,26.2118,0.0
qgan,5,ok,893,1107,0.3388,0.2786,0.2334,4.8109,0.9997,15.2597,0.0
qgan,7,ok,494,1506,0.3033,0.2933,0.2227,4.5714,0.999,9.1972,0.0
qgan,8,ok,1472,528,0.3152,0.2111,0.2567,5.5571,0.9996,19.4251,0.0
qgan,9,ok,877,1123,0.3316,0.2189,0.1773,3.9767,0.9992,44.9557,0.0
ctgan,1,ok,800,1200,0.383,0.3688,0.257,5.1538,1.0,27.9015,0.0
ctgan,2,ok,535,1465,0.4755,0.3087,0.2165,4.6837,1.0,58.9315,0.0
ctgan,4,ok,622,1378,0.4765,0.3555,0.259,5.2891,1.0,54.7903,0.0
ctgan,5,ok,893,1107,0.4457,0.2943,0.2489,5.0437,1.0,36.063,0.0
ctgan,7,ok,494,1506,0.4107,0.2688,0.2338,4.6663,1.0,18.4531,0.0
ctgan,8,ok,1472,528,0.3654,0.2128,0.2027,4.5385,0.9999,39.1098,0.0
ctgan,9,ok,877,1123,0.4249,0.3349,0.1866,4.2468,1.0,66.5598,0.0
classical,1,ok,800,1200,0.2377,0.2201,0.2176,4.4363,0.9996,7.7339,0.0
classical,2,ok,535,1465,0.1903,0.1918,0.2147,4.2844,0.9988,25.0759,0.0
classical,4,ok,622,1378,0.2676,0.2852,0.2421,4.7732,0.9999,21.5841,0.0
classical,5,ok,893,1107,0.2308,0.2473,0.1917,3.9865,0.9998,13.4627,0.0
classical,7,ok,494,1506,0.243,0.1899,0.2682,5.1531,0.9994,6.2903,0.0
classical,8,ok,1472,528,0.2041,0.1608,0.2577,5.1794,0.9993,20.3421,0.0
classical,9,ok,877,1123,0.2205,0.1735,0.2447,4.7214,0.9999,25.8736,0.0
