bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
378.6312,54.0,54.0,224.37296,75.0,100.36057,161.70406,0.0,362.7699,121969.875,72.0,0.0,1.2,0.048150137,0,0,7
95.188896,95.0,77.0,161.64618,96.0,74.0,108.333336,0.0,0.0,18804.115,81.0,0.0,0.2380969,2.0,0,0,7
345.5515,54.0,54.0,14680.64,488.0,60.0,566.8038,75.00966,11.785113,76235.805,102.0,17.0,0.6666667,6.0,0,0,7
937.00757,54.0,54.0,40467.043,1858.9285,60.0,991.23785,3671.544,3527.314,5191.3506,331.14062,759.783,6.3430963,6.0,5,3,7
226.0,54.0,74.0,11010.808,1514.0,60.0,583.3826,359.01114,0.0,16870.742,260.62155,11.0,0.5,19.558002,0,0,7
326.43814,54.0,54.0,7165.7056,89.0,74.0,286.6314,0.0,0.0,42158.062,83.0,0.0,0.9671921,3.0,0,0,7
581.865,54.0,54.0,175479.05,1877.0,60.0,1272.543,3609.5679,595.62933,14672.039,720.1536,718.05255,1.0,154.57498,0,0,7
162.25859,54.0,73.576904,141.0,1292.0,60.0,92.05049,0.0,0.0,89.050156,210.48138,0.0,0.5,3.0,0,0,7
185.10732,54.0,79.0,7685.766,529.0,60.0,415.26758,0.0,0.0,23327.803,161.59512,0.0,0.5,13.7631445,0,0,7
226.0,54.0,54.0,136.2676,83.0,74.0,86.78886,0.0,0.0,3234.898,80.89557,0.0,1.0,2.0,0,2,7
177.98569,78.0,87.334946,5848.022,95.0,60.0,338.38602,0.0,0.0,34886.95,94.0,0.0,0.5,5.0,0,0,7
135.04527,94.0,74.0,159.0,94.569466,93.99439,115.05064,0.0,0.0,31637.271,77.0,0.0,0.5,2.0,0,0,7
626.9271,54.0,54.0,16052.0,91.0,63.0,627.6843,0.0,620.2985,226830.78,82.0,162.46603,1.3333334,2.0,0,0,7
510.2045,54.0,54.0,224.32451,82.0,74.0,134.33333,0.0,557.27075,19063.64,77.0,0.0,1.4093802,2.0,0,2,7
172.51143,54.0,54.0,108.0,76.0,124.32093,67.38228,0.0,0.0,4673.537,76.0,0.0,0.535917,2.0,0,0,7
226.0,54.0,60.0,7182.0,281.08752,60.0,374.09088,0.0,0.0,27466.475,100.79675,0.0,0.5,5.0,0,0,7
78.67841,61.166668,81.0,74.0,95.93857,74.0,95.0,0.0,0.0,212.20775,86.1148,0.0,0.28899592,2.0,0,0,7
