bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
637.9167,54.0,67.05858,1849.3143,412.36914,60.0,394.02966,0.0,0.0,104224.5,244.9017,0.0,0.954936,10.0,0,0,1
602.0121,54.0,95.0,108.0,614.0,63.0,150.65909,46.381207,0.0,21052.68,110.95624,9.0,0.5,2.0,0,0,1
673.8852,54.0,54.0,155.3812,575.8134,63.0,178.2577,0.0,0.0,29199.258,142.0,0.0,0.58148247,7.0,0,0,1
60.92304,54.0,73.0,5183.4355,313.21222,60.0,646.868,1.2188714,0.0,28392.564,81.0,18.64682,0.5,3.0,0,0,1
362.3834,74.0,89.0,97.0,415.53214,91.0,212.30109,0.0,0.0,27520.033,97.0,0.0,0.5,6.0,0,0,1
350.05884,91.0,95.0,121.0,268.40042,60.0,387.81442,3.5969548,0.0,58456.47,266.8967,0.0,1.2154765,3.0,0,0,1
121.0,66.0,55.0,5240.0,268.0,63.0,283.8879,70.14955,0.0,28617.746,121.26113,11.0,0.5,7.0,0,0,1
95.0,54.0,54.0,309.29602,318.55075,66.0,260.12592,76.786095,347.5533,9319.546,173.82024,0.0,0.097236045,17.0,0,0,1
60.0,54.0,54.0,7730.432,483.24106,0.0,784.42883,217.1361,0.0,27764.39,226.15889,0.0,0.6666667,5.0,0,2,1
506.3392,54.0,54.0,5133.896,534.0,63.0,236.76244,179.78127,0.0,56248.703,68.0,17.0,0.9166667,2.0,0,0,1
130.0,54.0,54.0,150.0,368.63745,60.0,478.5003,0.0,0.0,49842.098,330.70865,0.0,1.0,5.0,0,0,1
60.0,64.0,54.0,9683.129,268.0,54.0,409.20477,82.34588,0.0,65786.914,95.0,0.0,1.1190792,8.0,0,0,1
750.6691,92.0,75.0,1015.3988,533.2865,60.0,182.76517,46.57603,19.457344,16682.271,142.0894,10.0,1.2222222,2.0,0,0,1
569.6815,54.0,54.0,17149.062,626.3984,54.0,604.78015,72.533646,0.0,56868.848,77.89762,12.0,0.78586584,2.0,0,0,1
485.61682,66.0,54.0,283.13477,412.24838,60.0,553.1322,0.0,0.0,55452.08,182.20633,0.0,1.1,3.0,0,0,1
153.0,74.0,96.0,119.0,658.00354,91.0,138.0,116.00107,474.2897,6310.5454,301.0,0.0,0.5,12.0,0,0,1
669.6098,66.0,79.0,6504.8203,321.86844,66.0,130.66667,0.0,611.05536,451.41684,108.46863,7.0,0.5,3.0,3,0,1
488.0719,54.0,54.0,121.0,522.0,60.0,405.66028,77.98816,15.240935,22809.918,216.0,11.0,1.0,2.0,3,0,1
71.46417,54.0,54.0,7691.667,612.05383,60.0,325.70026,177.82114,424.24695,10366.513,198.53528,0.0,1.1666666,3.0,0,0,1
362.5,54.0,54.0,10675.608,1267.0,62.0,375.8637,72.74973,0.0,21739.408,109.25,0.0,0.6,9.0,0,0,1
638.43585,54.0,54.0,111.0,206.21095,105.91092,160.0512,52.71473,73.32645,15396.036,94.281296,10.0,1.1904087,2.0,0,0,1
603.53156,68.0,54.0,7579.1353,513.176,66.0,134.1302,0.0,0.0,52394.004,101.33473,0.0,0.09313853,15.0,0,0,1
365.0731,60.0,54.0,32142.621,1288.4962,60.0,354.2622,462.08554,595.6545,456.6447,367.02695,0.0,1.0,3.0,0,0,1
