Label_Name,raw,dropna_removed,conflict_removed,dedup_removed,final,retained_pct
Bittorent,27256.0,0.0,4508.0,7385.0,15363.0,56.4
Steam,5668.0,0.0,421.0,2.0,5245.0,92.5
EA Origin,4560.0,0.0,412.0,3.0,4145.0,90.9
Webex,2327.0,0.0,411.0,76.0,1840.0,79.1
Slack,1701.0,0.0,548.0,37.0,1116.0,65.6
Zoom,1327.0,0.0,219.0,12.0,1096.0,82.6
ChromeRDP,1281.0,0.0,259.0,22.0,1000.0,78.1
Microsoft Teams,976.0,0.0,198.0,0.0,778.0,79.7
Discord,832.0,0.0,161.0,2.0,669.0,80.4
Teamviewer,814.0,0.0,194.0,3.0,617.0,75.8
TOTAL,46742.0,0.0,7331.0,7542.0,31869.0,68.2
