Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.04080919564267667,0.15204518526975946
fwd_pkt_len_mean,0.028552385276016036,0.1620959812891489
bwd_pkt_len_mean,0.032288205927900736,0.0918577809311893
fwd_pkt_len_max,0.020977069251420965,0.05632674260191858
bwd_pkt_len_max,0.020578051734386794,0.18309231790729308
pkt_len_min,0.023093453640004504,0.14999315158376111
fwd_pkt_len_min,0.03129076528760821,0.23806077365433903
pkt_len_var,0.02519688294087445,0.02659563460438628
pkt_len_std,0.029898530860106222,0.10661381451082848
fwd_byts_b_avg,0.040137530349332075,0.09069965844021632
flow_byts_s,0.02651161842216786,0.10547793213042174
flow_pkts_s,0.019280416960971512,0.040631376363248636
init_bwd_win_byts,0.03841755205519227,0.1907429505196908
init_fwd_win_byts,0.011142715184434573,0.2002735665419573
fwd_psh_flags,0.03903661805487481,0.10876884145301993
psh_flag_cnt,0.03895291508548759,0.1174305963104043
