condition,seed,accuracy,macro_precision,macro_recall,macro_f1,best_epoch,stopped_epoch,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
baseline,42,0.5806403351286654,0.31361874004743273,0.279137299303559,0.2835521689910022,33,43,0.8833539603960396,0.2550335570469799,0.2980392156862745,0.24257425742574257,0.05821917808219178,0.05548216644649934,0.5574288724973656,0.0,0.3218390804597701,0.16355140186915887
baseline,43,0.5882704967085578,0.28346492695991976,0.2830435428689579,0.26788431270149815,25,35,0.8940324358368761,0.2174757281553398,0.24150943396226415,0.22719141323792486,0.012,0.03215434083601286,0.6294906166219839,0.0,0.315203955500618,0.10978520286396182
baseline,44,0.5834829443447038,0.2882312451576632,0.28463396609536273,0.28021846056330607,37,47,0.8890249502525639,0.1978798586572438,0.2532467532467532,0.2604735883424408,0.044444444444444446,0.08053691275167785,0.5027624309392266,0.022727272727272728,0.378839590443686,0.1722488038277512
baseline,45,0.5644823459006583,0.27639711242264553,0.2615659425989923,0.25526072513711373,21,31,0.8701476632668594,0.20521739130434782,0.20833333333333334,0.16021602160216022,0.04660194174757282,0.0481283422459893,0.5300113250283126,0.0,0.32826261008807045,0.15568862275449102
baseline,46,0.5896169958108917,0.30551583172917857,0.2810096402035983,0.28242911539498256,37,47,0.8884504477158901,0.17061611374407584,0.3041825095057034,0.27697262479871176,0.027874564459930314,0.06959152798789713,0.5505226480836237,0.0,0.3663194444444444,0.16976127320954906
baseline,47,0.5815380011968881,0.27213631350473094,0.2705554417567111,0.265954354292099,27,37,0.8777662260507946,0.20454545454545456,0.2408026755852843,0.22692889561270801,0.010309278350515464,0.093603744149766,0.4868651488616462,0.0,0.3441938178780284,0.17452830188679244
baseline,48,0.5686714542190305,0.2730548217016878,0.2702121377735832,0.2571252342799871,26,36,0.8716728624535316,0.1791044776119403,0.26143790849673204,0.21061792863359444,0.015655577299412915,0.038535645472061654,0.48322147651006714,0.015503875968992248,0.3514696685428393,0.1440329218106996
baseline,49,0.5915619389587073,0.3074871458998278,0.2961860518410654,0.2885675774791222,93,100,0.8926777287258335,0.18512898330804248,0.265625,0.20185029436501262,0.09854014598540146,0.09705372616984402,0.5459837019790454,0.027210884353741496,0.39267886855241263,0.17892644135188868
baseline,50,0.5947037701974865,0.28804022688714015,0.29609541187650507,0.28702926915978844,93,100,0.8977220608469653,0.1752738654147105,0.2521489971346705,0.24128686327077747,0.07628524046434494,0.08472012102874432,0.5450399087799316,0.03076923076923077,0.3943191311612364,0.17272727272727273
baseline,51,0.6032315978456014,0.30045167299410924,0.3142513335350413,0.29556299291733407,61,71,0.8995094160468429,0.2119460500963391,0.2631578947368421,0.23805532271584243,0.052060737527114966,0.08290155440414508,0.6307692307692307,0.03225806451612903,0.3558368495077356,0.1891348088531187
undersample,42,0.5457809694793537,0.278466631261775,0.295660770707366,0.2639712943284457,49,59,0.8717537672330875,0.18928571428571428,0.21304347826086956,0.15160955347871236,0.046948356807511735,0.07260726072607261,0.5075987841945289,0.050314465408805034,0.3671607753705815,0.16939078751857356
undersample,43,0.5477259126271694,0.27332838074698784,0.2872438378410062,0.2578358900608323,31,41,0.88224,0.1743119266055046,0.20537897310513448,0.10792951541850221,0.04107424960505529,0.047217537942664416,0.5707831325301205,0.03755868544600939,0.3611111111111111,0.1507537688442211
undersample,44,0.5656792339916218,0.28331613323564153,0.2969429381734622,0.2712849964471681,66,76,0.8948220064724919,0.16193181818181818,0.19072164948453607,0.13485477178423236,0.06896551724137931,0.06741573033707865,0.6366880799428979,0.034482758620689655,0.36820572764465226,0.15476190476190477
undersample,45,0.5583482944344704,0.29049580140836595,0.296164667333854,0.2726160008485269,45,55,0.8835549789166396,0.17160686427457097,0.2079207920792079,0.1607717041800643,0.048154093097913325,0.11192930780559647,0.625089605734767,0.030456852791878174,0.35355892648774795,0.1331168831168831
undersample,46,0.5511669658886894,0.2815253788429906,0.284714820756213,0.2692324113821268,39,49,0.8649240882767256,0.2014388489208633,0.17721518987341772,0.18839200761179828,0.05970149253731343,0.12879708383961117,0.49312977099236643,0.028985507246376812,0.35430038510911427,0.19543973941368079
undersample,47,0.5454817474566128,0.27391888829155653,0.26974687059551067,0.2543515920718281,18,28,0.8713282247765006,0.16105417276720352,0.1813186813186813,0.17238001958863858,0.02457757296466974,0.10572687224669604,0.5626441199077633,0.0,0.3537170263788969,0.11076923076923077
undersample,48,0.5619389587073609,0.2795650558122708,0.28901767804432676,0.2688932941107692,26,36,0.8839169909208819,0.1661807580174927,0.19047619047619047,0.18274111675126903,0.04786324786324787,0.06379585326953748,0.6322147651006711,0.0,0.35049019607843135,0.1712538226299694
undersample,49,0.5538599640933572,0.2890516296288879,0.2964427973281338,0.27616491251624004,28,38,0.8725348725348725,0.19889502762430938,0.2753623188405797,0.1524008350730689,0.047976011994003,0.11097410604192355,0.5584415584415584,0.0547945205479452,0.367612293144208,0.12265758091993186
undersample,50,0.5463794135248354,0.28939088077145375,0.2922820165723138,0.26894799982809714,56,66,0.8746811224489796,0.17166212534059946,0.2823529411764706,0.11791383219954649,0.05598755832037325,0.08075370121130551,0.5259984928409948,0.031746031746031744,0.3579080025204789,0.19047619047619047
undersample,51,0.5456313584679833,0.2766099039507214,0.2791917289599276,0.26131151112562523,57,67,0.8754981667463734,0.15114709851551958,0.23052959501557632,0.1450381679389313,0.07719298245614035,0.09550561797752809,0.5011355034065103,0.01680672268907563,0.37135614702154623,0.14890510948905109
oversample,42,0.5222920406941951,0.30746284403023616,0.3088035028625479,0.27464475732912946,48,58,0.8620689655172413,0.21597633136094674,0.21676300578034682,0.12053571428571429,0.17465753424657535,0.13443072702331962,0.4911392405063291,0.024054982817869417,0.3433333333333333,0.16348773841961853
oversample,43,0.553411131059246,0.34989536325370824,0.3397843933885053,0.3055879823764026,88,98,0.8867462003595359,0.2169576059850374,0.19328859060402684,0.1336573511543135,0.25889046941678523,0.15794871794871795,0.5880478087649402,0.03524229074889868,0.38571428571428573,0.19938650306748465
oversample,44,0.5502692998204668,0.34131590449499766,0.3382047801948326,0.30284781014099255,67,77,0.8771303359844181,0.176033934252386,0.24550898203592814,0.15566037735849056,0.22788605697151423,0.15931372549019607,0.530278232405892,0.03248259860788863,0.4199004975124378,0.2042833607907743
