category,epoch,d_loss,g_loss
1,1,-2.386411,3.901749
1,2,-2.664036,4.327741
1,3,-2.525626,3.107885
1,4,-2.421612,2.878196
1,5,-2.494904,1.893039
1,6,-2.635672,2.940332
1,7,-2.226222,3.164027
1,8,-2.861122,2.2326
1,9,-2.775013,4.245746
1,10,-2.848204,3.683305
1,11,-3.011816,3.761416
1,12,-2.93593,2.989599
1,13,-3.1512,3.847714
1,14,-2.867624,2.622943
1,15,-2.896918,3.143207
1,16,-2.87475,3.41845
1,17,-3.045161,2.354846
1,18,-2.854228,2.793223
1,19,-2.668829,2.927739
1,20,-3.024364,2.34492
1,21,-3.141279,1.658921
1,22,-2.963159,2.708187
1,23,-2.929931,2.057045
1,24,-3.01868,2.060491
1,25,-3.075197,2.369862
1,26,-2.993267,2.459624
1,27,-3.036609,2.26445
1,28,-3.223221,2.861293
1,29,-2.903665,2.192231
1,30,-2.858333,2.365939
1,31,-3.246752,1.791137
1,32,-3.040413,2.165128
1,33,-2.939122,1.99945
1,34,-3.419759,2.476779
1,35,-3.226476,1.611589
1,36,-2.820755,1.983123
1,37,-3.191164,1.550533
1,38,-3.248349,1.991904
1,39,-3.314549,2.54993
1,40,-3.456567,1.463381
1,41,-3.064212,1.516211
1,42,-2.903556,1.480335
1,43,-3.065914,1.717752
1,44,-2.813421,1.380713
1,45,-3.217972,1.098446
1,46,-2.957906,1.591268
1,47,-3.205418,1.172831
1,48,-3.211618,1.544515
1,49,-2.727854,1.081928
1,50,-3.192209,1.509
