category,epoch,d_loss,g_loss
0,1,-4.469162,5.670164
0,2,-4.368739,6.236674
0,3,-3.829378,5.541343
0,4,-4.38436,5.317087
0,5,-4.508518,6.31095
0,6,-4.052642,5.142671
0,7,-4.143417,4.471335
0,8,-4.440534,4.107967
0,9,-4.841186,4.446432
0,10,-4.505213,3.982409
0,11,-5.057854,3.70541
0,12,-4.135495,4.04534
0,13,-4.672163,3.671615
0,14,-4.388936,3.490228
0,15,-4.257297,3.93435
0,16,-4.687479,3.419447
0,17,-4.996579,3.753228
0,18,-5.00667,3.494148
0,19,-4.068744,2.629094
0,20,-4.459669,2.578435
0,21,-4.946661,3.881858
0,22,-4.511999,3.215766
0,23,-4.633697,2.749557
0,24,-4.856909,3.603333
0,25,-4.837609,3.048141
0,26,-4.47463,3.289051
0,27,-4.804556,3.385987
0,28,-4.604971,3.253661
0,29,-5.098932,3.048599
0,30,-5.065402,3.010713
0,31,-4.810828,3.140533
0,32,-4.188576,3.494551
0,33,-4.883111,3.469769
0,34,-5.086498,3.373278
0,35,-4.760277,2.899869
0,36,-5.019578,2.414951
0,37,-4.709745,2.509869
0,38,-4.545389,2.871348
0,39,-4.483714,3.188417
0,40,-5.062362,2.959521
0,41,-4.931573,2.350004
0,42,-4.552011,3.337363
0,43,-4.689001,3.008543
0,44,-4.972591,3.216956
0,45,-4.579355,2.727792
0,46,-4.855373,2.79488
0,47,-4.66151,2.724346
0,48,-4.886643,2.047676
0,49,-4.926434,2.883088
0,50,-4.835651,2.875291
1,1,-2.386411,3.901749
1,2,-2.664036,4.327741
1,3,-2.525626,3.107885
1,4,-2.421612,2.878196
1,5,-2.494904,1.893039
1,6,-2.635672,2.940332
1,7,-2.226222,3.164027
1,8,-2.861122,2.2326
1,9,-2.775013,4.245746
1,10,-2.848204,3.683305
1,11,-3.011816,3.761416
1,12,-2.93593,2.989599
1,13,-3.1512,3.847714
1,14,-2.867624,2.622943
1,15,-2.896918,3.143207
1,16,-2.87475,3.41845
1,17,-3.045161,2.354846
1,18,-2.854228,2.793223
1,19,-2.668829,2.927739
1,20,-3.024364,2.34492
1,21,-3.141279,1.658921
1,22,-2.963159,2.708187
1,23,-2.929931,2.057045
1,24,-3.01868,2.060491
1,25,-3.075197,2.369862
1,26,-2.993267,2.459624
1,27,-3.036609,2.26445
1,28,-3.223221,2.861293
1,29,-2.903665,2.192231
1,30,-2.858333,2.365939
1,31,-3.246752,1.791137
1,32,-3.040413,2.165128
1,33,-2.939122,1.99945
1,34,-3.419759,2.476779
1,35,-3.226476,1.611589
1,36,-2.820755,1.983123
1,37,-3.191164,1.550533
1,38,-3.248349,1.991904
1,39,-3.314549,2.54993
1,40,-3.456567,1.463381
1,41,-3.064212,1.516211
1,42,-2.903556,1.480335
1,43,-3.065914,1.717752
1,44,-2.813421,1.380713
1,45,-3.217972,1.098446
1,46,-2.957906,1.591268
1,47,-3.205418,1.172831
1,48,-3.211618,1.544515
1,49,-2.727854,1.081928
1,50,-3.192209,1.509
2,1,-1.579509,2.382414
2,2,-2.580777,3.970355
2,3,-2.520924,3.114447
2,4,-2.407776,2.569206
2,5,-2.251976,2.283636
2,6,-2.237868,1.971919
2,7,-2.291218,1.992113
2,8,-2.258044,1.627219
2,9,-2.317295,2.073121
2,10,-2.414913,2.053554
2,11,-2.341524,1.528098
2,12,-2.592251,2.478433
2,13,-2.511969,2.443654
2,14,-2.632975,3.079255
2,15,-2.750149,3.024761
2,16,-2.597197,2.808739
2,17,-2.996831,3.749629
2,18,-2.914976,3.29965
2,19,-2.683619,3.784697
2,20,-2.768476,3.253175
2,21,-2.67597,2.645848
2,22,-2.73142,2.917444
2,23,-2.963695,2.779888
2,24,-3.041296,2.824951
2,25,-2.964037,3.101979
2,26,-2.747845,2.376601
2,27,-2.920589,2.679242
2,28,-2.716761,2.698868
2,29,-2.86471,2.803301
2,30,-2.458067,2.740036
2,31,-2.622129,2.487899
2,32,-2.755456,3.208333
2,33,-2.941115,2.465783
2,34,-3.059286,2.934736
