generator,label,status,n_real,n_syn,js_quantile,std_w1,corr_mad,corr_frob,c2st_auc,dcr_ratio,copy_frac
qgan,1,ok,727,1273,0.3039,0.2592,0.2645,5.2732,0.9988,15.0703,0.0
qgan,2,ok,482,1518,0.2882,0.2909,0.2256,4.9424,0.9991,23.277,0.0
qgan,4,ok,456,1544,0.3088,0.2706,0.2491,5.1269,0.9984,144.2299,0.0
qgan,5,ok,736,1264,0.3316,0.292,0.2395,4.8959,0.9996,9.8712,0.0
qgan,7,ok,582,1418,0.3351,0.3067,0.2423,4.7704,0.9982,8.3134,0.0
qgan,8,ok,1382,618,0.2981,0.2365,0.269,5.5251,0.9999,12.9602,0.0
qgan,9,ok,853,1147,0.3202,0.2247,0.1829,4.015,0.9997,73.9278,0.0
ctgan,1,ok,727,1273,0.4086,0.3232,0.2601,5.1992,1.0,24.3641,0.0
ctgan,2,ok,482,1518,0.4628,0.2655,0.2205,4.7123,1.0,48.4132,0.0
ctgan,4,ok,456,1544,0.4735,0.3623,0.2474,5.1739,0.9999,308.8158,0.0
ctgan,5,ok,736,1264,0.3972,0.2583,0.2559,5.169,1.0,23.9527,0.0
ctgan,7,ok,582,1418,0.3912,0.3023,0.2381,4.6702,1.0,22.6175,0.0
ctgan,8,ok,1382,618,0.3826,0.296,0.2389,5.0745,1.0,26.5296,0.0
ctgan,9,ok,853,1147,0.3703,0.2426,0.1896,4.2177,1.0,102.004,0.0
classical,1,ok,727,1273,0.2315,0.2182,0.2552,4.9806,0.9999,9.4113,0.0
classical,2,ok,482,1518,0.2151,0.2383,0.2369,4.4915,0.999,25.2361,0.0
classical,4,ok,456,1544,0.2717,0.1992,0.384,7.5093,0.9999,94.4404,0.0
classical,5,ok,736,1264,0.2552,0.241,0.2673,5.4736,0.9997,6.8284,0.0
classical,7,ok,582,1418,0.2651,0.2806,0.2564,4.998,0.9986,7.0434,0.0
classical,8,ok,1382,618,0.1995,0.208,0.2057,4.1898,0.9997,17.0999,0.0
classical,9,ok,853,1147,0.2257,0.1515,0.2516,4.8299,0.9992,53.0574,0.0
